"Proportion_White","Prob_Case","alpha","num_folds","W0_cali_slp_byAvg","W1_cali_slp_byAvg","W0_cali_slp_byAgt","W1_cali_slp_byAgt","W0_cali_slp_ext","W1_cali_slp_ext","W0_cali_slp_byAvg_estsd","W1_cali_slp_byAvg_estsd","W0_cali_slp_byAgt_estsd","W1_cali_slp_byAgt_estsd","W0_cali_slp_ext_estsd","W1_cali_slp_ext_estsd","W0_cali_slp_byAvg_rej_rate","W1_cali_slp_byAvg_rej_rate","W0_cali_slp_byAgt_rej_rate","W1_cali_slp_byAgt_rej_rate","W0_cali_slp_ext_rej_rate","W1_cali_slp_ext_rej_rate","W0_cali_slp_byAvg_sd","W1_cali_slp_byAvg_sd","W0_cali_slp_byAgt_sd","W1_cali_slp_byAgt_sd","W0_cali_slp_ext_sd","W1_cali_slp_ext_sd"
0.5,0.2,-2.68,5,1.00825964315532,0.996209029300268,1.00082280363827,0.989908937218346,0.994684822726547,0.996037900938608,0.044047093746898,0.0379288978647309,0.0437817314064288,0.0377458546390644,0.0437469748436486,0.0378116700223563,0.08,0.04,0.08,0.02,0.12,0,0.00407561676503253,0.00318919023166099,0.00182408338934196,0.00186259816587828,0.0430838149690781,0.0364981688888907
0.8,0.2,-2.91,5,1.03426788170619,0.995661666301789,1.01718752903772,0.990761049099912,0.999139270217025,0.997659865036313,0.0748181482760289,0.0309467545608356,0.0736872569951659,0.0308342105261179,0.0734764445927702,0.0309876834139197,0.02,0.1,0.04,0.12,0.1,0.1,0.00868723062403069,0.00266887627553136,0.00293548764772013,0.00163483166292214,0.0723693366272878,0.0296896915673547
0.5,0.05,-4.48,5,1.01231352914348,0.994226852708476,0.996978803560016,0.982318344566449,0.984612559322562,0.979616651434986,0.0760464995121744,0.0572910469639041,0.0749991923292275,0.0567341103715263,0.074950535749278,0.0566421574903565,0.1,0.08,0.1,0.08,0.04,0.1,0.0092497394548216,0.00688206769363085,0.00517227252009955,0.00460734735491203,0.0778332645613926,0.0525895689692312
0.8,0.05,-4.69,5,1.03594987140674,0.994407612524528,1.00150299498919,0.984737512709419,0.99189105893948,0.986531332758916,0.135332063762022,0.0486171599485618,0.130520849141859,0.0482660099017146,0.130122761812893,0.0481595118879196,0.1,0.02,0.08,0,0.08,0.06,0.0230518730932259,0.00554405951873257,0.00749837551943746,0.00435450019890247,0.12701747891914,0.0486170678309027
