"Proportion_White","Prob_Case","alpha","num_folds","W0_cali_intc_byAvg","W1_cali_intc_byAvg","W0_cali_intc_byAgt","W1_cali_intc_byAgt","W0_cali_intc_ext","W1_cali_intc_ext","W0_cali_intc_byAvg_estsd","W1_cali_intc_byAvg_estsd","W0_cali_intc_byAgt_estsd","W1_cali_intc_byAgt_estsd","W0_cali_intc_ext_estsd","W1_cali_intc_ext_estsd","W0_cali_intc_byAvg_rej_rate","W1_cali_intc_byAvg_rej_rate","W0_cali_intc_byAgt_rej_rate","W1_cali_intc_byAgt_rej_rate","W0_cali_intc_ext_rej_rate","W1_cali_intc_ext_rej_rate","W0_cali_intc_byAvg_sd","W1_cali_intc_byAvg_sd","W0_cali_intc_byAgt_sd","W1_cali_intc_byAgt_sd","W0_cali_intc_ext_sd","W1_cali_intc_ext_sd"
0.5,0.2,-2.68,5,0.000249101065843657,0.00016561664360238,-0.000132261356432335,-2.76268150603438e-05,-0.00783439764124435,-0.0124465030359586,0.0430756872195364,0.0360365817930229,0.0430802196516394,0.0360392745366703,0.0431366932543979,0.0361211871588168,0.02,0.08,0,0.08,0.02,0.08,0.000671277597121651,0.000603372313381382,0.000595227657651389,0.000546230019501759,0.0424207634694402,0.0333069991292777
0.8,0.2,-2.91,5,0.000667302315181588,6.36584799878998e-05,-0.000422506189486627,-9.90757482362512e-05,-0.000567199228020809,0.000213327141918374,0.0726825697852093,0.0298350338989083,0.0727031528347661,0.0298366215681263,0.0729064094390558,0.0298097837320564,0.08,0.06,0.08,0.06,0.04,0.08,0.00119203861406477,0.000477254934570467,0.00103745839992154,0.000429432350893958,0.0745573293386207,0.0287815647760249
0.5,0.05,-4.48,5,0.000348816948735998,0.000490378741409353,-0.000504256066907996,-0.000133460120670737,-0.00840730045223618,-0.000697997252096223,0.0812207542289218,0.059578198586175,0.0812290616523376,0.0595853816507049,0.0814136857730745,0.0595087106875015,0.04,0.06,0.06,0.06,0.08,0.14,0.00144099389311493,0.00135330446003122,0.0013786674416874,0.00127359434549735,0.0807177166222759,0.0585876915217402
0.8,0.05,-4.69,5,0.000717011389033261,0.000333848895394042,-0.0011130179290978,-0.000126798563537659,-0.00469609040696565,0.0049890867876455,0.141413228125194,0.050892607864923,0.141402296284677,0.0508964058194806,0.141399246959532,0.0507435089369526,0.08,0.04,0.08,0.04,0.14,0.02,0.002554913033342,0.00102594845965979,0.00230628835288958,0.000988614232664935,0.139462151797653,0.0469132508069321
