"Proportion_White","Prob_Case","alpha","num_folds","W0_AUC_byAvg","W1_AUC_byAvg","W0_AUC_byAgt","W1_AUC_byAgt","W0_AUC_ext","W1_AUC_ext","W0_AUC_byAvg_estsd","W1_AUC_byAvg_estsd","W0_AUC_byAgt_estsd","W1_AUC_byAgt_estsd","W0_AUC_ext_estsd","W1_AUC_ext_estsd","W0_AUC_byAvg_sd","W1_AUC_byAvg_sd","W0_AUC_byAgt_sd","W1_AUC_byAgt_sd","W0_AUC_ext_sd","W1_AUC_ext_sd"
0.5,0.2,-2.68,5,0.777258508965073,0.769169652133488,0.777049423162594,0.769009462052368,0.775402030605205,0.770722463317094,0.00905002838016388,0.00752217147803359,0.00905869823817428,0.00752335632859334,0.00905945139668479,0.0075038832309017,0.000415191309339273,0.000360092525435065,0.000303351267214619,0.000312208646113231,0.00877818723505996,0.00725015839902904
0.8,0.2,-2.91,5,0.781808514904881,0.771962356044499,0.781475037980966,0.771812552844051,0.777105622879176,0.77217399136839,0.0151267800089158,0.00621951523612642,0.0151670019828119,0.00622257975797638,0.0153814505390663,0.00621068267698983,0.000893637460134985,0.000316292838364394,0.000525267498414926,0.000264447504354596,0.0148214208431688,0.00577685750679823
0.5,0.05,-4.48,5,0.791709005446244,0.783214706069407,0.791234669389924,0.782783747580523,0.786805551317298,0.781883244490917,0.0169311366226289,0.0125995107665873,0.0171104800656411,0.0126663496322246,0.0175176584306523,0.0126736306221924,0.00104934058922072,0.00091564885488706,0.000981175730994638,0.000862423814801505,0.0182038225899119,0.0118414420766072
0.8,0.05,-4.69,5,0.791767295868308,0.783781982171331,0.791175181508438,0.783373815307911,0.787395204809242,0.783481619409423,0.0289194121300609,0.0108875257721526,0.0298518862804214,0.0109375501278271,0.0303605143010767,0.010822008689552,0.00265818603667761,0.00077524278270645,0.00163767225585881,0.000803497202903227,0.0304365801959939,0.0111163848292934
