"Proportion_White","Prob_Case","alpha","num_folds","W0_EOR_byAvg","W1_EOR_byAvg","W0_EOR_byAgt","W1_EOR_byAgt","W0_EOR_ext","W1_EOR_ext","W0_EOR_byAvg_estsd","W1_EOR_byAvg_estsd","W0_EOR_byAgt_estsd","W1_EOR_byAgt_estsd","W0_EOR_ext_estsd","W1_EOR_ext_estsd","W0_EOR_byAvg_rej_rate","W1_EOR_byAvg_rej_rate","W0_EOR_byAgt_rej_rate","W1_EOR_byAgt_rej_rate","W0_EOR_ext_rej_rate","W1_EOR_ext_rej_rate","W0_EOR_byAvg_sd","W1_EOR_byAvg_sd","W0_EOR_byAgt_sd","W1_EOR_byAgt_sd","W0_EOR_ext_sd","W1_EOR_ext_sd"
0.5,0.2,-2.68,5,1.0001015115041,1.00001941943001,1.00009536276539,1.00001697050372,1.00652431722513,1.00801513061352,0.0337923661440584,0.0242340038548444,0.0337918706339072,0.0242338792995101,0.0340955040801721,0.0245440957141771,0,0.04,0,0.04,0,0.06,0.000435701892024834,0.00033187489171132,0.000430115256489343,0.000331410550061396,0.0309158694386972,0.0203591567565861
0.8,0.2,-2.91,5,1.00038676011762,1.00006390532144,1.00031870323775,1.000063378433,1.00388465243293,1.00023308994303,0.0590061672559799,0.0211258149256957,0.0589982205626099,0.0211257856541191,0.059597890803553,0.021122094090887,0.06,0.04,0.06,0.02,0.04,0.06,0.000811342517934544,0.000275512082454099,0.000781520818638792,0.000275509140948456,0.0563505257118223,0.0185116459042672
0.5,0.05,-4.48,5,1.00061305637956,1.00016027244795,1.000456706265,1.00011158147116,1.0135414490173,1.00295376863846,0.0760115528478351,0.0527071805257441,0.0759892605146792,0.0527024386624598,0.0774111253517315,0.0528584785980783,0.08,0.06,0.08,0.06,0.12,0.12,0.00129146114342961,0.00108471650584217,0.00124779431580474,0.00106816488037976,0.0745284579661811,0.0491540752446551
0.8,0.05,-4.69,5,1.00240569365416,1.00013113784379,1.00102508813707,1.00010946020438,1.02157348144859,0.997296943375887,0.134277427332511,0.0458553990647037,0.13393102012496,0.045853508693005,0.137937967896111,0.0456034824077742,0.08,0.04,0.08,0.04,0.1,0.02,0.00250243557759579,0.000851853140770599,0.0021220179566216,0.000850032995804717,0.131830241039368,0.0403945191935547
