"Proportion_White","Prob_Case","alpha","num_folds","W0_AUC_byAvg","W1_AUC_byAvg","W0_AUC_byAgt","W1_AUC_byAgt","W0_AUC_ext","W1_AUC_ext","W0_AUC_byAvg_estsd","W1_AUC_byAvg_estsd","W0_AUC_byAgt_estsd","W1_AUC_byAgt_estsd","W0_AUC_ext_estsd","W1_AUC_ext_estsd","W0_AUC_byAvg_sd","W1_AUC_byAvg_sd","W0_AUC_byAgt_sd","W1_AUC_byAgt_sd","W0_AUC_ext_sd","W1_AUC_ext_sd"
0.5,0.2,-2.68,5,0.775929791229991,0.770745165849707,0.775759384733691,0.770600923283286,0.77574285964572,0.770694315743064,0.00522948840062343,0.00433063866713136,0.00522993966373713,0.00433053582249058,0.00523179134245086,0.00433113315442932,0.00526113976167234,0.00431045172786048,0.00525311428410816,0.00432426921374147,0.00526215463265159,0.00422776772526034
0.8,0.2,-2.91,5,0.777444735517984,0.772143309301814,0.777001821331753,0.772042310620702,0.777211001914607,0.771908479450977,0.008859805690872,0.00358757657785408,0.00885831107532955,0.00358758878373741,0.00885545002724354,0.00358847211626834,0.00857146930832656,0.00359920481307233,0.00858186530749711,0.00360714383692746,0.00870802607043029,0.00380656322671379
0.5,0.05,-4.48,5,0.786457737091953,0.782256734122048,0.785878517690128,0.781903359142255,0.787247938407541,0.782432753341087,0.010122055056513,0.00731036516654198,0.0101346746747178,0.00731490042710667,0.0100953589669919,0.00730121526787929,0.0102984219947086,0.00732500048047121,0.0103068143820519,0.00732156802546336,0.00984511214443061,0.00722005042228237
0.8,0.05,-4.69,5,0.788512998091989,0.78354535690712,0.786930943456932,0.783272888674096,0.788092810134349,0.783898542628967,0.0174910023019554,0.00626435500553068,0.0175501266202472,0.00626908473694007,0.0174528018495912,0.00626068066346781,0.0172283264100796,0.00603474019371781,0.0171082637990439,0.00601825639079127,0.017219294218495,0.00611752148930092
0.5,0.2,-2.68,10,0.775968334957648,0.770254549613296,0.775799590324176,0.770130313397783,0.77580313295474,0.770796244013845,0.00523785675942309,0.00433936915150307,0.00523492419914018,0.00433688292749344,0.00523051199416077,0.00432943508033485,0.00539804374152957,0.0043962088391048,0.00539831813618689,0.00439218280894265,0.00517090683418853,0.00429279710963797
0.8,0.2,-2.91,10,0.777327830927142,0.771935233045866,0.77691845027223,0.771841638449496,0.777072107444814,0.771994615505775,0.00888594922886584,0.00358881494880831,0.00887149537155452,0.00358773057460865,0.00885909668094462,0.00358715139813714,0.00905608831498507,0.00357883910357732,0.00902158357887395,0.00357131282833171,0.00856135343515125,0.00340197739566182
0.5,0.05,-4.48,10,0.787472736149064,0.782177359816618,0.78689895584125,0.781826875411565,0.78737502402995,0.782338284831746,0.0101126245225337,0.00731044407790085,0.0101229141457413,0.00731365914936024,0.0100854143022145,0.0073050884516345,0.0101049516147188,0.00756502127219412,0.0101057571474671,0.00753769420729047,0.00998642378655428,0.00735833634597707
0.8,0.05,-4.69,10,0.787218982699917,0.783680539531789,0.785864770817499,0.783407893738488,0.788456501366121,0.78383476771291,0.0175002542013799,0.0062606407760009,0.0175967337202963,0.00626384573764419,0.0174984150766302,0.00625690565481504,0.0189954922990042,0.00620402779567906,0.0183806856227065,0.00620529465512556,0.017203580867615,0.00633992005063914
