"Proportion_White","Prob_Case","alpha","num_folds","W0_cali_slp_byAvg","W1_cali_slp_byAvg","W0_cali_slp_byAgt","W1_cali_slp_byAgt","W0_cali_slp_ext","W1_cali_slp_ext","W0_cali_slp_byAvg_estsd","W1_cali_slp_byAvg_estsd","W0_cali_slp_byAgt_estsd","W1_cali_slp_byAgt_estsd","W0_cali_slp_ext_estsd","W1_cali_slp_ext_estsd","W0_cali_slp_byAvg_rej_rate","W1_cali_slp_byAvg_rej_rate","W0_cali_slp_byAgt_rej_rate","W1_cali_slp_byAgt_rej_rate","W0_cali_slp_ext_rej_rate","W1_cali_slp_ext_rej_rate","W0_cali_slp_byAvg_sd","W1_cali_slp_byAvg_sd","W0_cali_slp_byAgt_sd","W1_cali_slp_byAgt_sd","W0_cali_slp_ext_sd","W1_cali_slp_ext_sd"
0.5,0.2,-2.68,5,1.00066027084888,1.00035152166741,0.997672926218517,0.997734117176232,0.998100846605741,0.998707779474488,0.0253985972963843,0.0218977231704451,0.0253324018094845,0.0218529001461242,0.0253286356128848,0.0218566379011127,0.01,0.001,0.012,0.001,0.113,0.093,0.0194858624442428,0.0144562114766667,0.0194208509625214,0.0145215453264857,0.0309532385576147,0.0258195779868521
0.8,0.2,-2.91,5,1.00313506824656,0.999832150571417,0.996229418749837,0.998009421236301,0.997784896510268,0.998200196605246,0.0425352068445742,0.0179309777670471,0.0422503887613767,0.0179054387474148,0.0422748454220462,0.017914354872747,0.024,0,0.033,0,0.058,0.156,0.039089436696975,0.00706322270730272,0.0390439112095368,0.00703302445191644,0.044649863084584,0.0247652690929351
0.5,0.05,-4.48,5,1.00026263283793,0.999693907997474,0.993297038066974,0.994412173818151,1.00055559748221,0.998445568183591,0.0440609274160377,0.0333554106750485,0.0437229813261286,0.0331944419422199,0.0438070645011215,0.0332294795040692,0.016,0.001,0.018,0.002,0.091,0.112,0.0363775580573127,0.0208510081870333,0.0357759679154786,0.0207373295118453,0.0516365864814413,0.0413761464288943
0.8,0.05,-4.69,5,1.0100416379834,0.998206210877331,0.9933401757432,0.994345347778009,0.998578806084556,0.997538704357047,0.0765975221345196,0.0281185214584987,0.0749459413828551,0.0280217091449405,0.0750439583226782,0.028061339124902,0.036,0,0.035,0,0.058,0.143,0.0732198425471624,0.0102034483315234,0.0706827111437274,0.00998220922365038,0.0790723434279577,0.0379219884691114
0.5,0.2,-2.68,10,1.00420720676305,1.00080636333799,0.999478030890233,0.996895424398463,1.00003520585598,1.00061938413129,0.0255099724062134,0.0219410388880663,0.0253854652558084,0.0218626969773875,0.025367352045214,0.0218910753163204,0.013,0.001,0.01,0.002,0.097,0.103,0.0195787688834103,0.0144448271771489,0.0194337851386271,0.0144167083516243,0.0306311828625393,0.0264394942038089
0.8,0.2,-2.91,10,1.00923278482401,1.00087322930246,0.997445310413189,0.998078475295499,0.998537548805572,0.999287954489221,0.0429121510022273,0.0179602861676562,0.0423466935498652,0.0179151310086963,0.0423303704496336,0.0179328622945465,0.046,0,0.039,0,0.067,0.125,0.0399843542745434,0.00707481250437118,0.0391867569452205,0.00699242939179558,0.0448457018813137,0.0233448426931541
0.5,0.05,-4.48,10,1.00690652426816,1.00126228448077,0.996393920865163,0.993834246167747,0.999055623186223,0.997258638921384,0.0443898726626715,0.0334431510313782,0.0437099751874192,0.0331511344280755,0.043776249800811,0.0331983048806058,0.02,0.002,0.019,0.005,0.091,0.13,0.0359404090118959,0.0207280255851483,0.035078000299161,0.0202979848388116,0.0513947093448354,0.0423471396631171
0.8,0.05,-4.69,10,1.01551649535667,1.00108150511496,0.989229427641844,0.995570181478845,1.00267316448669,0.999143586743767,0.0785520939701312,0.0282485763300395,0.0750315193779161,0.0280650549932163,0.0751575136363984,0.0281020605182749,0.051,0,0.042,0,0.065,0.163,0.0782576937091046,0.0105146010608452,0.072357338901682,0.0100760817619472,0.0803119280373404,0.0399580478451048
