"Proportion_White","Prob_Case","alpha","num_folds","W0_EOR_byAvg","W1_EOR_byAvg","W0_EOR_byAgt","W1_EOR_byAgt","W0_EOR_ext","W1_EOR_ext","W0_EOR_byAvg_estsd","W1_EOR_byAvg_estsd","W0_EOR_byAgt_estsd","W1_EOR_byAgt_estsd","W0_EOR_ext_estsd","W1_EOR_ext_estsd","W0_EOR_byAvg_rej_rate","W1_EOR_byAvg_rej_rate","W0_EOR_byAgt_rej_rate","W1_EOR_byAgt_rej_rate","W0_EOR_ext_rej_rate","W1_EOR_ext_rej_rate","W0_EOR_byAvg_sd","W1_EOR_byAvg_sd","W0_EOR_byAgt_sd","W1_EOR_byAgt_sd","W0_EOR_ext_sd","W1_EOR_ext_sd"
0.5,0.2,-2.68,5,1.00003941803912,1.00001706019158,1.00003819697487,1.00001680700526,0.999882053882366,0.99987514039656,0.0195609074553257,0.0140298490679794,0.0195608661968157,0.014029841412362,0.0195538760612758,0.0140312324179716,0,0,0,0,0.121,0.131,0.000159917368385983,0.000117653202690144,0.000159522758917445,0.000117485994182205,0.0248104371778211,0.0181148217110574
0.8,0.2,-2.91,5,1.00012633303929,1.00001775838365,1.0001173650339,1.00001759468456,1.00000903105681,1.00044567704765,0.0341557421021947,0.0121816477839996,0.0341551631673286,0.0121816437878864,0.0341270351329819,0.0121946672671989,0,0,0,0,0.156,0.118,0.000287697059424317,9.76938296433986e-05,0.000283526494365646,9.75759943592976e-05,0.0463763485422568,0.0153521315985341
0.5,0.05,-4.48,5,1.00013584348741,1.00007422274918,1.00011819230855,1.00007118665152,1.00263070134592,1.0014133597098,0.0438322560760562,0.0303296067846254,0.0438308089091895,0.0303294197412092,0.0439921928258138,0.0303891986073048,0,0,0,0,0.14,0.129,0.000445042074930846,0.000373172463304438,0.00043983399955014,0.000373051600226637,0.0580147290843042,0.0400351831722095
0.8,0.05,-4.69,5,1.00044420093047,1.00004483621795,1.00028739565428,1.00004330693443,1.00041190408407,1.00120978090521,0.0768052711671062,0.026374432465999,0.0767827161367248,0.0263743482044143,0.0768318367970872,0.0264190863969783,0,0,0,0,0.155,0.164,0.000821516109948299,0.000294299150558167,0.000761335020582652,0.00029429075001798,0.103910878107962,0.0361490950656853
0.5,0.2,-2.68,10,1.00004126997258,1.00001563887053,1.00003863922489,1.00001468397155,0.998861252745285,0.999157472189452,0.019573413683861,0.0140270411830935,0.019573309542497,0.0140270118884934,0.0195356116542433,0.0140080105365124,0,0,0,0,0.137,0.132,9.40030937756867e-05,7.23842074840273e-05,9.25682202416821e-05,7.22255154494281e-05,0.0258132694628123,0.0182073577822954
0.8,0.2,-2.91,10,1.00013042052833,1.0000131439551,1.00010196505849,1.00001278300271,1.00127374880121,1.00077606965521,0.0341780941596836,0.012182592259801,0.0341761459170416,0.0121825820176214,0.0342429313370084,0.0121958179963606,0,0,0,0,0.123,0.1,0.000185693713156172,6.1722452444517e-05,0.00016474197167341,6.15372450663903e-05,0.0455953873448558,0.0147831792590149
0.5,0.05,-4.48,10,1.0001714090666,1.0000763727427,1.00010687932299,1.00006239017908,1.00397164782891,1.0005606781677,0.043875835085975,0.0303485388674637,0.043870458386214,0.0303476987345344,0.0441375570444036,0.0303765622761464,0,0,0,0,0.151,0.147,0.000279919907761223,0.000217424358852713,0.000262093456566181,0.000211358028866907,0.0596801434286062,0.0420764147633866
0.8,0.05,-4.69,10,1.00086083037491,1.000061192666,1.00024628096366,1.00005280616428,1.00832244944441,1.00158274348525,0.0767635975982398,0.0263845448445315,0.076673868294266,0.0263841139320359,0.0775791484391515,0.0264529746357894,0,0,0,0,0.152,0.11,0.00074954938034891,0.000188221213683263,0.000444509225599439,0.000185536431959907,0.107228223708065,0.033610186870014
