"Proportion_White","Prob_Case","alpha","num_folds","W0_EOR_byAvg","W1_EOR_byAvg","W0_EOR_byAgt","W1_EOR_byAgt","W0_EOR_ext","W1_EOR_ext","W0_EOR_byAvg_estsd","W1_EOR_byAvg_estsd","W0_EOR_byAgt_estsd","W1_EOR_byAgt_estsd","W0_EOR_ext_estsd","W1_EOR_ext_estsd","W0_EOR_byAvg_rej_rate","W1_EOR_byAvg_rej_rate","W0_EOR_byAgt_rej_rate","W1_EOR_byAgt_rej_rate","W0_EOR_ext_rej_rate","W1_EOR_ext_rej_rate","W0_EOR_byAvg_sd","W1_EOR_byAvg_sd","W0_EOR_byAgt_sd","W1_EOR_byAgt_sd","W0_EOR_ext_sd","W1_EOR_ext_sd"
0.5,0.2,-2.68,5,1.00166511115131,1.00081172444691,1.00000218104893,1.00000845043021,1.00098588230487,1.00099777714897,0.0196304155504846,0.014048714774734,0.0195650628987577,0.0140241595442903,0.0195944865308748,0.0140470615634222,0,0,0,0,0.139,0.115,0.00126839998148416,0.000622767417805351,0.000178088178449017,0.000133047893030524,0.0259604824393598,0.0175630062303589
0.8,0.2,-2.91,5,1.00525076439487,1.00061241422903,1.00000096450647,0.999999784317066,0.999382787191492,1.00025655399238,0.0345428211879747,0.0122007534045683,0.0341838823132108,0.012185158639716,0.0341307132720646,0.0121915611948279,0,0,0,0,0.145,0.123,0.00402770566827401,0.000465532808576001,0.000395988866318848,0.000103981001187977,0.0456265938508025,0.0156672309514559
0.5,0.05,-4.48,5,1.00917936753195,1.004348741168,0.999986498510847,0.999997044343992,1.00026382524847,0.999937401271438,0.0446428989912935,0.030594247393569,0.0438904263169151,0.0303429419726122,0.0438997065041461,0.030343928673097,0,0,0,0,0.145,0.15,0.00698326813812526,0.00327978484503025,0.000526536684439895,0.000405605374235593,0.0584544625833522,0.0412834987906086
0.8,0.05,-4.69,5,1.02854253104379,1.00309766061369,1.00001440613648,0.999988135088905,1.00732710770084,1.00159857163067,0.0807068917226007,0.0265324874923336,0.0765801121792119,0.0263784854482971,0.0773490831875082,0.0264387563118497,0,0,0,0,0.164,0.145,0.0208108355042271,0.00227433174361108,0.00116383751893469,0.000318116867237014,0.109444117129209,0.0350633051890253
0.5,0.2,-2.68,10,1.00329627126745,1.00159433796123,1.00000272192622,0.999999254525421,1.00027585659927,1.00012922707895,0.0196892635446125,0.0140828854047668,0.0195563256070847,0.0140328285379115,0.0195666124222557,0.0140320424650939,0,0,0,0,0.122,0.126,0.00161535327859842,0.000818186850185257,0.000107990746667517,7.87013124993673e-05,0.0252040883975671,0.0176344533176893
0.8,0.2,-2.91,10,1.01003726869976,1.00118621720377,1.00000164504484,1.00000042714492,0.998759554307943,1.00008730575283,0.0348878308082892,0.0122132098891599,0.0341796118099808,0.0121822289325619,0.0341075451569251,0.0121858447959967,0,0,0,0,0.122,0.112,0.00505066832868517,0.000604408891504439,0.000234122433415341,6.33574724826701e-05,0.0434749673000139,0.015480728401754
0.5,0.05,-4.48,10,1.01863748491681,1.00845562707181,0.999983086357146,0.999999265492723,1.00270882856347,0.999744988043848,0.0454894865719755,0.0308460455285743,0.0439159879681809,0.0303446567956494,0.0440981107806821,0.030326618587081,0,0,0,0,0.149,0.14,0.00915758873091119,0.00426831533289496,0.000305332424340999,0.000235025576265013,0.0614632010093489,0.0405576290281337
0.8,0.05,-4.69,10,1.06382930970053,1.0063206617892,0.999998876827409,1.00000251778191,1.00657724668476,1.00347843461558,0.08660499596586,0.0266838414113071,0.076782667545146,0.0263625931852394,0.0775079911119839,0.0265027593330876,0.004,0,0,0,0.154,0.151,0.0373559416201473,0.00311603710499352,0.000671410139065867,0.000191586273927106,0.106970266355296,0.0350467509341162
