"Proportion_White","Prob_Case","alpha","num_folds","W0_cali_slp_byAvg","W1_cali_slp_byAvg","W0_cali_slp_byAgt","W1_cali_slp_byAgt","W0_cali_slp_ext","W1_cali_slp_ext","W0_cali_slp_byAvg_estsd","W1_cali_slp_byAvg_estsd","W0_cali_slp_byAgt_estsd","W1_cali_slp_byAgt_estsd","W0_cali_slp_ext_estsd","W1_cali_slp_ext_estsd","W0_cali_slp_byAvg_rej_rate","W1_cali_slp_byAvg_rej_rate","W0_cali_slp_byAgt_rej_rate","W1_cali_slp_byAgt_rej_rate","W0_cali_slp_ext_rej_rate","W1_cali_slp_ext_rej_rate","W0_cali_slp_byAvg_sd","W1_cali_slp_byAvg_sd","W0_cali_slp_byAgt_sd","W1_cali_slp_byAgt_sd","W0_cali_slp_ext_sd","W1_cali_slp_ext_sd"
0.5,0.2,-2.68,5,1.00027133957259,1.00062414635282,0.997269157479662,0.99805221082991,0.999627322068265,0.999284565293394,0.0254035258235439,0.021911705665022,0.0253361637061269,0.0218660593567826,0.0253768154142088,0.0218881412413302,0.011,0.002,0.013,0.003,0.116,0.124,0.0193368505262704,0.0143352586926692,0.0192339361531115,0.0143888475303425,0.0311575295376193,0.0267581929685056
0.8,0.2,-2.91,5,1.00301060145356,0.999895564654217,0.995991217492854,0.998087480012063,1.00188839113321,0.997984354107828,0.0425872980555889,0.0179360126231229,0.0422855589161041,0.0179107291019451,0.0423538175594764,0.0179153756586774,0.025,0,0.025,0,0.066,0.147,0.0388389030019684,0.00695866628829691,0.0383031654371127,0.00689853911016424,0.0454276910810166,0.0242176560638523
0.5,0.05,-4.48,5,1.00090766648464,0.999368829568295,0.993934278314448,0.994168092995995,1.00149565209915,1.00045593219265,0.0440805249144059,0.033340228028793,0.0437447119469604,0.0331784798146851,0.0438166845044803,0.033257718277019,0.02,0.004,0.017,0.002,0.096,0.124,0.0369839046217168,0.0212561496412021,0.0366821876901962,0.0209927735768079,0.0506014509962034,0.0422580519552154
0.8,0.05,-4.69,5,1.0094739973983,0.998277081424652,0.99307575411454,0.994313207018258,1.00359073030664,0.99801173051209,0.076363923004605,0.028130750355611,0.0747731698182007,0.0280329418292357,0.0750156264133647,0.0280831917020121,0.04,0,0.042,0,0.071,0.151,0.0724954722246803,0.0100629258200778,0.0696897954538746,0.00983944039544079,0.081191494266256,0.0377986659038562
0.5,0.2,-2.68,10,1.00240572789149,1.00201575778493,0.997729581360896,0.998185330035355,0.999570867229239,1.00083269348619,0.0254636416510802,0.0219502949326151,0.0253377702244006,0.0218709362714827,0.0253633902159856,0.0218961531427586,0.011,0.004,0.008,0.002,0.103,0.107,0.0194522808704545,0.0144598220057157,0.0191589056308405,0.0142850624095368,0.0302297483763573,0.027155214640944
0.8,0.2,-2.91,10,1.0099416366993,1.0006967416517,0.998326461228149,0.997955163827979,1.00224009658983,0.998974694963661,0.0429425421239138,0.017952396885634,0.0423546048750874,0.0179074480080192,0.0423763251509425,0.0179230802964387,0.041,0,0.036,0,0.059,0.168,0.0401747338845231,0.00710767015375112,0.0392769407148305,0.00702537199522462,0.0450383371660574,0.0251718335917668
0.5,0.05,-4.48,10,1.00287776758829,1.0033618936404,0.993025985367647,0.995732643772772,0.996488132827896,0.997533662807989,0.0443412853590795,0.0334604953005463,0.0436754046478584,0.033156505589035,0.043754663846177,0.0331564149906416,0.014,0.001,0.016,0.002,0.095,0.129,0.0352842687482904,0.0202481093649973,0.034307082613682,0.0197291090630862,0.0523155931351978,0.0424621745071249
0.8,0.05,-4.69,10,1.01499848022583,1.0014681489234,0.988507452640147,0.99581744748739,0.998337074867385,0.997354042216925,0.0784875383075311,0.0282054413432305,0.0749239746081438,0.028022707852789,0.0750597382898146,0.0280720224148494,0.047,0,0.041,0,0.051,0.148,0.0767173325796554,0.0102818538738934,0.0699444163254825,0.00976324342827647,0.0756844808227005,0.0376791413193132
