"Proportion_White","Prob_Case","alpha","num_folds","W0_AUC_byAvg","W1_AUC_byAvg","W0_AUC_byAgt","W1_AUC_byAgt","W0_AUC_ext","W1_AUC_ext","W0_AUC_byAvg_estsd","W1_AUC_byAvg_estsd","W0_AUC_byAgt_estsd","W1_AUC_byAgt_estsd","W0_AUC_ext_estsd","W1_AUC_ext_estsd","W0_AUC_byAvg_sd","W1_AUC_byAvg_sd","W0_AUC_byAgt_sd","W1_AUC_byAgt_sd","W0_AUC_ext_sd","W1_AUC_ext_sd"
0.5,0.2,-2.68,5,0.775701566172008,0.77055148563257,0.775517479637178,0.77040993220702,0.775786811202659,0.770503323910021,0.00523496331319023,0.00433335229221446,0.00523452736932981,0.00433301729490618,0.00523178814883121,0.00433249945430615,0.00502743062009324,0.0045732675760926,0.00501243135846567,0.00457514744131546,0.00550043529495029,0.00425020439882876
0.8,0.2,-2.91,5,0.777450084921772,0.772092496359346,0.777031183036132,0.771990726970803,0.778032027097903,0.771798169361157,0.00886543799289588,0.00358780820199874,0.00886192326705741,0.00358782463548455,0.0088407606769173,0.00358845915051896,0.00871578785472916,0.00358597771664049,0.00868366172138223,0.00359358011308564,0.00870762343721963,0.00346532362240464
0.5,0.05,-4.48,5,0.786961813121675,0.782166641296268,0.786372118690355,0.781784808379218,0.787574340974863,0.782815718934543,0.0100947280953832,0.00730917814560248,0.0101075127619506,0.00731453561570917,0.0100659252557979,0.00729231718442371,0.0105028173248433,0.00742711858962271,0.0104528155725697,0.0074337161991079,0.00990175733554771,0.00731911932063572
0.8,0.05,-4.69,5,0.788879823236041,0.783873370561246,0.787440022018073,0.783575207362638,0.789411073256353,0.783911081992867,0.0174304531432979,0.0062538181894091,0.0174878750499468,0.00625836522568668,0.0174063470369413,0.00625888875715271,0.0178800793781455,0.00615179688440351,0.0176815079585206,0.00617974265860961,0.0177611127992718,0.00617150371569843
0.5,0.2,-2.68,10,0.775715613792966,0.770590268003661,0.775554058442405,0.770467061947949,0.775754433505166,0.770882010576115,0.00523510942540923,0.0043379501981822,0.00523156098097014,0.00433473284192551,0.00523317073912239,0.00433032940681371,0.00530712415272811,0.00440080592147251,0.00528596501055235,0.00439104038231662,0.00528845779901446,0.0042869005197984
0.8,0.2,-2.91,10,0.777626588882443,0.772058090404307,0.777253157605149,0.771971524589291,0.777958670379065,0.771988025556082,0.00887625566723857,0.00358784546181722,0.00886021192188184,0.00358653475293788,0.00884396818645639,0.00358622112968341,0.00886674355606697,0.00353182627477231,0.00881064367167039,0.00353706844693622,0.00876417526247815,0.00361031660982831
0.5,0.05,-4.48,10,0.786883167184434,0.782654571473987,0.786377276277989,0.782330808245901,0.78692836884027,0.782673004104972,0.0101089971032519,0.0073136698735648,0.0101158712126313,0.00731366116950188,0.0101113442543243,0.00729158175223051,0.0102201550842274,0.0071798460079517,0.0101258363697962,0.00713136645793808,0.0101373527847717,0.00730432419855428
0.8,0.05,-4.69,10,0.787719812713494,0.784058110434939,0.78639523698964,0.783769032036087,0.787953671143307,0.784030064975424,0.0175115153579151,0.00625668474667663,0.0175700963769094,0.00625995265010511,0.0175592173492423,0.00625645206338195,0.0176245414606844,0.00629344925512799,0.0171287491659178,0.00627293194845767,0.0170473281852907,0.0059975124638331
