"Proportion_White","Prob_Case","alpha","num_folds","W0_cali_intc_byAvg","W1_cali_intc_byAvg","W0_cali_intc_byAgt","W1_cali_intc_byAgt","W0_cali_intc_ext","W1_cali_intc_ext","W0_cali_intc_byAvg_estsd","W1_cali_intc_byAvg_estsd","W0_cali_intc_byAgt_estsd","W1_cali_intc_byAgt_estsd","W0_cali_intc_ext_estsd","W1_cali_intc_ext_estsd","W0_cali_intc_byAvg_rej_rate","W1_cali_intc_byAvg_rej_rate","W0_cali_intc_byAgt_rej_rate","W1_cali_intc_byAgt_rej_rate","W0_cali_intc_ext_rej_rate","W1_cali_intc_ext_rej_rate","W0_cali_intc_byAvg_sd","W1_cali_intc_byAvg_sd","W0_cali_intc_byAgt_sd","W1_cali_intc_byAgt_sd","W0_cali_intc_ext_sd","W1_cali_intc_ext_sd"
0.5,0.2,-2.68,5,-0.00038477441127283,-4.83110116310665e-05,-5.10675112508335e-06,-2.74012421634245e-05,-0.000390361411459266,-0.00225647142295509,0.0249207822303657,0.0208182576775748,0.0249127102346499,0.0208160402124225,0.0249126560640787,0.0208260926810914,0,0,0,0,0.14,0.175,0.0004590857436997,0.000278910427182116,0.000236997085671897,0.000205158665694971,0.0336245494602217,0.0300104716981734
0.8,0.2,-2.91,5,-0.0018231207064288,-6.95615839164717e-06,2.79633861893911e-05,-3.80664568032257e-05,-0.000187825910978423,-0.000611508967217145,0.0420702985443572,0.0171981031982099,0.042008776573028,0.0171978082591399,0.0420336915350266,0.0171998446500173,0,0,0,0,0.193,0.16,0.00177134097239571,0.000183086474696229,0.000498984987772634,0.000163238420764322,0.0634835454103054,0.0238135970705131
0.5,0.05,-4.48,5,-0.00226670720170115,-0.000421013590111441,-3.18253742822849e-05,-7.54633855985484e-05,-0.00205342653389357,0.00172327165694362,0.0469016096237359,0.0342709384730309,0.0468162660980113,0.0342566970015506,0.0468696696461809,0.0342333041747712,0,0,0,0,0.169,0.138,0.00182455384768146,0.000640299878836222,0.000557189717345293,0.000456712829844839,0.0677449953158071,0.0457242430353508
0.8,0.05,-4.69,5,-0.00970726778871086,-7.18354877255473e-05,2.77353861548902e-05,-7.5168614797472e-05,-0.0049420995711357,0.00215218311334418,0.0817052640547629,0.0292767266433772,0.0810658063009643,0.0292742657182281,0.0812037144482636,0.0292521424171892,0,0,0,0,0.158,0.148,0.00738695644294454,0.000385236999527619,0.0012371517949283,0.00035999162129377,0.110747188794926,0.040143070045068
0.5,0.2,-2.68,10,-0.000941660016917696,-0.000125126025588156,-1.2833969113528e-05,-2.5455825659079e-05,-0.000380332375719389,-0.000478415299308415,0.0249237586888588,0.0208224679373988,0.0249052641373264,0.0208173599703562,0.0249132675980374,0.0208162335331362,0,0,0,0,0.182,0.154,0.000678948072717691,0.00030246934250309,0.000136155168569153,0.000120330564669113,0.036229517376982,0.0293197294424693
0.8,0.2,-2.91,10,-0.00411234771285382,6.99765517487669e-06,-7.05460647088257e-06,-2.49789819510827e-05,-0.00369005332376346,-0.00160102516497289,0.042142389812388,0.0171950000170864,0.0420053505579237,0.0171942993764637,0.0420558594372198,0.0171984316104417,0,0,0,0,0.163,0.157,0.00270393875005602,0.000139236243057741,0.000306172543325494,9.16274407066946e-05,0.0591095803088154,0.0241774020395362
0.5,0.05,-4.48,10,-0.00526344155932342,-0.000986973014948629,-1.53780815803359e-05,-8.21593298995192e-05,-0.0018951989491041,0.000944912881377815,0.0470256503374802,0.0342771000815493,0.0468339228778743,0.0342457214965277,0.0468739978470009,0.0342270484297762,0,0,0,0,0.163,0.158,0.00292306360405462,0.000777970384806528,0.000327594999185906,0.000268321636120533,0.0654697817271999,0.0478306737249984
0.8,0.05,-4.69,10,-0.0236813437551815,-0.000113682078760033,-4.22687233992482e-05,-5.34898639760258e-05,0.000509660271600291,-0.00144119422766449,0.0826779029014731,0.0292538992960756,0.0811543926250495,0.0292481542996351,0.0811204233639423,0.0292640438666716,0,0,0,0,0.186,0.174,0.0141315094514945,0.000311814666056851,0.000733116352890841,0.000214820336064353,0.11751333791799,0.0423233258077299
