num_folds,W0_cali_intc_byAvg,W1_cali_intc_byAvg,W0_cali_intc_byAgt,W1_cali_intc_byAgt,W0_cali_intc_ext,W1_cali_intc_ext,W0_cali_intc_byAvg_estsd,W1_cali_intc_byAvg_estsd,W0_cali_intc_byAgt_estsd,W1_cali_intc_byAgt_estsd,W0_cali_intc_ext_estsd,W1_cali_intc_ext_estsd,W0_cali_intc_byAvg_cov_rate,W1_cali_intc_byAvg_cov_rate,W0_cali_intc_byAgt_cov_rate,W1_cali_intc_byAgt_cov_rate,W0_cali_intc_ext_cov_rate,W1_cali_intc_ext_cov_rate,W0_cali_intc_byAvg_sd,W1_cali_intc_byAvg_sd,W0_cali_intc_byAgt_sd,W1_cali_intc_byAgt_sd,W0_cali_intc_ext_sd,W1_cali_intc_ext_sd
5,-0.004981027,1.03E-05,-0.004909087,8.10E-06,-0.008613641,-0.000269784,0.111249871,0.05087521,0.111223517,0.050874648,0.11148743,0.050902286,0.984,1,0.984,1,0.908,0.846,0.089838829,0.018837816,0.089775152,0.018837255,0.130941552,0.069308235
10,-0.006105719,-5.96E-05,-0.004922026,-1.67E-05,-0.008613641,-0.000269784,0.111331393,0.050876192,0.111221702,0.050873955,0.11148743,0.050902286,0.984,1,0.984,1,0.908,0.846,0.090030241,0.018835826,0.089752516,0.018833227,0.130941552,0.069308235
