num_folds,W0_cali_slp_byAvg,W1_cali_slp_byAvg,W0_cali_slp_byAgt,W1_cali_slp_byAgt,W0_cali_slp_ext,W1_cali_slp_ext,W0_cali_slp_byAvg_estsd,W1_cali_slp_byAvg_estsd,W0_cali_slp_byAgt_estsd,W1_cali_slp_byAgt_estsd,W0_cali_slp_ext_estsd,W1_cali_slp_ext_estsd,W0_cali_slp_byAvg_cov_rate,W1_cali_slp_byAvg_cov_rate,W0_cali_slp_byAgt_cov_rate,W1_cali_slp_byAgt_cov_rate,W0_cali_slp_ext_cov_rate,W1_cali_slp_ext_cov_rate,W0_cali_slp_byAvg_sd,W1_cali_slp_byAvg_sd,W0_cali_slp_byAgt_sd,W1_cali_slp_byAgt_sd,W0_cali_slp_ext_sd,W1_cali_slp_ext_sd
5,0.643867124,0.680622653,0.612603766,0.656644646,0.701823117,0.72359015,0.238590604,0.112113879,0.236982526,0.111697092,0.247795024,0.115968213,0.682,0.084,0.632,0.046,0.719,0.338,0.23093928,0.090795602,0.232841223,0.093072548,0.266642207,0.131413298
10,0.678556555,0.706893874,0.640084039,0.680959918,0.701823117,0.72359015,0.243918138,0.114233362,0.242379316,0.113969287,0.247795024,0.115968213,0.757,0.154,0.699,0.073,0.719,0.338,0.231168576,0.08380864,0.232279765,0.086650135,0.266642207,0.131413298
