"","cali_intc_extAvg_W0","cali_intc_extAvg_W1","cali_intc_estsd_extAvg_W0","cali_intc_estsd_extAvg_W1","cali_intc_byAvg_W0","cali_intc_byAvg_W1","cali_intc_estsd_byAvg_W0","cali_intc_estsd_byAvg_W1","cali_intc_rej_byAvg_W0","cali_intc_rej_byAvg_W1","cali_intc_byAgt_W0","cali_intc_byAgt_W1","cali_intc_estsd_byAgt_W0","cali_intc_estsd_byAgt_W1","cali_intc_byAvg_1fold_W0","cali_intc_byAvg_1fold_W1","cali_intc_estsd_byAvg_1fold_W0","cali_intc_estsd_byAvg_1fold_W1","cali_intc_rej_byAvg_1fold_W0","cali_intc_rej_byAvg_1fold_W1","cali_intc_extAvg_1fold_W0","cali_intc_extAvg_1fold_W1","cali_intc_estsd_extAvg_1fold_W0","cali_intc_estsd_extAvg_1fold_W1","cali_intc_rej_extAvg_1fold_W0","cali_intc_rej_extAvg_1fold_W1","cali_intc_byAvg_2fold_W0","cali_intc_byAvg_2fold_W1","cali_intc_estsd_byAvg_2fold_W0","cali_intc_estsd_byAvg_2fold_W1","cali_intc_rej_byAvg_2fold_W0","cali_intc_rej_byAvg_2fold_W1","cali_intc_extAvg_2fold_W0","cali_intc_extAvg_2fold_W1","cali_intc_estsd_extAvg_2fold_W0","cali_intc_estsd_extAvg_2fold_W1","cali_intc_rej_extAvg_2fold_W0","cali_intc_rej_extAvg_2fold_W1"
"result.1",-0.250960142508391,-0.0285386951561342,0.0962474281654802,0.0962474281654802,-0.00138579087488595,-0.000367014202623365,0.0868618970394338,0.021913507040349,0,0,-0.0014866077128103,-0.000387378324826564,0.0868635875629889,0.0219135394557651,-0.0176980529616439,-0.00832451891981284,0.122889583923394,0.0309983725149912,0,0,-0.308560154310272,-0.0290094489163155,0.136195237105803,0.0311697555914902,0,0,0.014926471211872,0.00759049051456611,0.122792961769851,0.0309823851962485,0,0,-0.193360130706509,-0.028067941395953,0.136033599404502,0.0311447644081539,0,0
"result.2",-0.154442959443442,-0.0120339823712162,0.094108782707251,0.094108782707251,-0.00444076155449001,0.000926740309095881,0.0877447526675801,0.0219252127479096,0,0,-0.00449910407655694,0.000446205880423551,0.0877559954509642,0.0219223695105494,-0.0274720083133513,0.0274372774555355,0.124535575789689,0.0311322964707653,0,0,-0.204065003651435,-0.00667419399714728,0.133898051622422,0.0313317263492964,0,0,0.0185904852043713,-0.0255837968373437,0.12364406270944,0.0308815699812532,0,0,-0.104820915235449,-0.017393770745285,0.132281782063612,0.0310597875545562,0,0
"result.3",0.119788977594631,0.030979781892889,0.0861825195123115,0.0861825195123115,0.000240469695901732,-0.000232723754181907,0.092549349975117,0.0221650001134178,0,0,-0.00293175015731941,-0.000249986417237359,0.092588865061516,0.0221649376491175,0.098229330475312,-0.00665029726655112,0.130258863081821,0.0313420032713461,0,0,0.15086713104482,0.0321416924988608,0.121247649661233,0.0308768487114624,0,0,-0.0977483910835085,0.00618484975818731,0.131510228765428,0.0313500842694472,0,0,0.0887108241444429,0.0298178712869172,0.122513326206357,0.0310028076709882,0,0
"result.4",0.0532216743097502,-0.025052099072454,0.0880002187163268,0.0880002187163268,-0.000538936844484663,-0.000940880128192387,0.0899204648685519,0.0217966858394557,0,0,-0.000793537622981602,-0.00109411468551858,0.0899197199411594,0.0217965186377794,-0.02103922358588,-0.018381602418271,0.126938692082665,0.0307922365205709,0,0,0.0333657506340544,-0.0205868141013522,0.124316131804351,0.0309335989458383,0,0,0.0199613498969107,0.0164998421618862,0.127394789821334,0.0308581009373169,0,0,0.073077597985446,-0.0295173840435559,0.124586073796505,0.0310455519000451,0,0
"result.5",-0.0206133918016103,0.042535676438653,0.0937660034797114,0.0937660034797114,-0.00106493238954695,0.000213426652280586,0.0929200877027652,0.0220985654985281,0,0,-0.00103703740348471,0.000212711704516687,0.0929186229244563,0.0220985576357247,-0.0178446720125875,0.00138371003933364,0.131995798432803,0.0312546474441028,0,0,-0.0314061766563609,0.0394644040109337,0.133074960761526,0.0307218904307096,0,0,0.0157148072334936,-0.000956856734772472,0.130821898059493,0.0312495346299143,0,0,-0.00982060694685962,0.0456069488663723,0.132135346859536,0.0307173532324901,0,0
"result.6",0.159615457566314,0.0117838804478926,0.0847503692738158,0.0847503692738158,-0.00400707813970417,0.000828252251613936,0.0914632467342403,0.0219327643984811,0,0,-0.00459800672314595,0.000816979189871652,0.0914737754286589,0.0219327495181039,-0.0384106603495043,0.00633456851732751,0.129202394662423,0.0310169057510398,0,0,0.122547935259179,0.0142801728510133,0.120247790291992,0.0308447083993019,0,0,0.0303965040700959,-0.00467806401409964,0.129494733318056,0.0310183199942916,0,0,0.196682979873448,0.00928758804477183,0.119462452994325,0.0308473062341901,0,0
"result.7",0.09393212672482,0.0386766347949833,0.0947424293357193,0.0947424293357193,0.00468673199237948,-0.000231314732453448,0.0989831293097401,0.0222449143888775,0,0,0.00205178726080894,-0.000339104832957177,0.0989899664260816,0.0222441215109093,0.0726164923795801,0.0115617434852519,0.140603337718376,0.0315315170370758,0,0,0.119097198239374,0.0325555157751684,0.134023578986328,0.0310885984612656,0,0,-0.0632430283948211,-0.0120243729501588,0.139363230113552,0.0313866022080822,0,0,0.0687670552102659,0.0447977538147983,0.13394847801117,0.0308405910164422,0,0
"result.8",0.0620156213069213,-0.0173249417162661,0.0927732271716355,0.0927732271716355,0.00144030481038794,0.000450214934733913,0.0956341158678125,0.0217997528192013,0,0,0.000649657703997647,0.000332710512169466,0.0956588694188695,0.0218005322120966,0.0423994729799815,-0.0193837176917515,0.13533602299561,0.0308560440493061,0,0,0.073799783120512,-0.037206206600037,0.130705551681356,0.0310989124610893,0,0,-0.0395188633592056,0.0202841475612193,0.135158104376031,0.0308029681372852,0,0,0.0502314594933305,0.00255632316750482,0.131696760501138,0.0311275312045438,0,0
"result.9",-0.124113350383966,-0.0226411257619871,0.0910503203189388,0.0910503203189388,-0.00267438700797839,-0.00067430573567617,0.0867252454928011,0.0219369610520891,0,0,-0.00453069395592024,-0.000677878237337511,0.0867688239422989,0.0219368838631747,-0.0802851690545608,0.000652348508366888,0.123184038611771,0.0310574183567771,0,0,-0.161631024759379,-0.0218171202212745,0.128858153266528,0.0313614753201933,0,0,0.074936395038604,-0.00200095997971923,0.12211199814034,0.0309896773174525,0,0,-0.0865956760085532,-0.0234651313026998,0.128671042440387,0.0313684402548157,0,0
"result.10",-0.0798026517940149,-0.013458550190485,0.0929728547150017,0.0929728547150017,0.000249942410345701,0.000735676493974287,0.0889551469347275,0.0220549755298705,0,0,4.79444299710573e-05,0.000724902671640264,0.0889561574687108,0.0220556640238222,-0.0172354667095006,0.0129895290244172,0.125538371098203,0.0311313644900705,0,0,-0.0529467015343349,-0.0223531492458782,0.131217966250116,0.0313214984558541,0,0,0.017735351530192,-0.0115181760364687,0.126064779377763,0.0312495265342287,0,0,-0.106658602053695,-0.00456395113509179,0.131748977890881,0.0314116177062654,0,0
