"","cali_intc_extAvg_W0","cali_intc_extAvg_W1","cali_intc_estsd_extAvg_W0","cali_intc_estsd_extAvg_W1","cali_intc_byAvg_W0","cali_intc_byAvg_W1","cali_intc_estsd_byAvg_W0","cali_intc_estsd_byAvg_W1","cali_intc_rej_byAvg_W0","cali_intc_rej_byAvg_W1","cali_intc_byAgt_W0","cali_intc_byAgt_W1","cali_intc_estsd_byAgt_W0","cali_intc_estsd_byAgt_W1","cali_intc_byAvg_1fold_W0","cali_intc_byAvg_1fold_W1","cali_intc_estsd_byAvg_1fold_W0","cali_intc_estsd_byAvg_1fold_W1","cali_intc_rej_byAvg_1fold_W0","cali_intc_rej_byAvg_1fold_W1","cali_intc_extAvg_1fold_W0","cali_intc_extAvg_1fold_W1","cali_intc_estsd_extAvg_1fold_W0","cali_intc_estsd_extAvg_1fold_W1","cali_intc_rej_extAvg_1fold_W0","cali_intc_rej_extAvg_1fold_W1","cali_intc_byAvg_2fold_W0","cali_intc_byAvg_2fold_W1","cali_intc_estsd_byAvg_2fold_W0","cali_intc_estsd_byAvg_2fold_W1","cali_intc_rej_byAvg_2fold_W0","cali_intc_rej_byAvg_2fold_W1","cali_intc_extAvg_2fold_W0","cali_intc_extAvg_2fold_W1","cali_intc_estsd_extAvg_2fold_W0","cali_intc_estsd_extAvg_2fold_W1","cali_intc_rej_extAvg_2fold_W0","cali_intc_rej_extAvg_2fold_W1"
"result.13",-0.181763982925935,0.0123389113520896,0.0927648206255326,0.0927648206255326,-0.000659239919369739,-0.000169884537186315,0.0864606500876998,0.022135822975894,0,0,-0.000720998784157974,-0.000264556634240116,0.0863823525523775,0.0221360203673493,0.120665269167111,-0.0165864648626626,0.119147945681382,0.0313135666366449,0,0,-0.110399390385403,-0.00559364498311099,0.127682609505649,0.0310412110235576,0,0,-0.121983749005851,0.0162466957882899,0.125399702249857,0.0312959954969536,0,0,-0.253128575466466,0.0302714676872901,0.134695925373822,0.0308960452714789,0,0
"result.14",-0.0627765068366688,0.011531978567601,0.0945183805074566,0.0945183805074566,0.00303293922581947,-2.51569499174209e-05,0.0925066653231047,0.0218114315613233,0,0,0.00431238303698434,0.000849492089875833,0.0924235570630121,0.0217873405187979,-0.0325130839007385,-0.129595545576317,0.134188509023277,0.031723898239794,0,0,-0.189864950339481,-0.0526539501212225,0.142036343640587,0.0308104726185399,0,0,0.0385789623523774,0.129545231676482,0.127459852396411,0.0299681464177979,0,0,0.0643119366661432,0.0757179072564244,0.125302007573785,0.030718295773459,0,1
"result.15",-0.0919394165627136,-0.0415910518752104,0.0972207058447319,0.0972207058447319,-0.000437183377101719,-5.87824201023247e-05,0.094107501581556,0.0218498737676385,0,0,0.00175297872575288,9.71314452569066e-05,0.093822494325039,0.0218474350622123,0.1573422789892,-0.0310798662979622,0.127633251659912,0.0311601313881289,0,0,-0.073782937640636,-0.0396918729016165,0.141040151071683,0.0310383325632565,0,0,-0.158216645743403,0.0309623014577576,0.138542958455456,0.0306406442485402,0,0,-0.110095895484791,-0.0434902308488042,0.133941530426527,0.0315385570535882,0,0
"result.16",-0.0559029465423973,-0.00982106298582373,0.0911979733592235,0.0911979733592235,0.00290222646613192,-0.000509347311899576,0.0916332758795988,0.0217700532677001,0,0,0.0033104805530239,0.000571130502703296,0.0906286086835835,0.0217593974893377,0.369255085662701,-0.0681693471531512,0.11918102228615,0.0314366329149323,0,0,0.0840272058604383,-0.0408347262521804,0.132182040522777,0.0310624403905488,0,0,-0.363450632730438,0.067150652529352,0.139997020741058,0.0301383762546,0,0,-0.195833098945233,0.0211926002805329,0.125764781048331,0.030899946734936,0,0
"result.17",0.103788311664156,-0.00146019528895155,0.0912103336350383,0.0912103336350383,0.00182477459389338,-0.000390106988789433,0.0954545170510416,0.0218256348915598,0,0,0.00667847854362763,-0.000653818229950776,0.0951060058447602,0.0218262367564548,0.141770901535644,0.0156601916587217,0.12848330695055,0.031024297130935,0,0,0.243989675609308,0.00567239730814896,0.126099709429049,0.0309199682208329,0,0,-0.138121352347857,-0.0164404056363005,0.141502838256163,0.0307079206111595,0,0,-0.0364130522809946,-0.00859278788605205,0.131882072281443,0.030979395921691,0,0
"result.18",0.172056632433019,-0.0299006562089457,0.0883609160613778,0.0883609160613778,-0.000866687051293037,0.000493696169026078,0.0972923831410298,0.0216810108465726,0,0,-0.00169997292086748,0.000500383091342357,0.0972916213219665,0.0216811573999547,-0.0894223912468854,-0.00515238024148142,0.139628432747135,0.0307131599772464,0,0,0.151485784104855,-0.0173198209176778,0.125263573461575,0.0309449931643812,0,0,0.0876890171442993,0.00613977257953357,0.135555982760152,0.0306099991931158,0,0,0.192627480761183,-0.0424814915002137,0.124658838293848,0.0312376898418794,0,0
"result.19",-0.252968393281505,-0.0289790454848922,0.10488190351881,0.10488190351881,-0.000314985262957382,0.000173069864934559,0.0949977513516731,0.0218242762846012,0,0,0.00237263593481095,6.85456173448987e-05,0.0946629970140746,0.0218187213892647,0.182384353620748,-0.0611774638401724,0.1280012323265,0.0312033962919576,0,0,-0.28578385692569,-0.0646817996570989,0.154731801005861,0.0312903636735677,0,0,-0.183014324146663,0.0615236035700415,0.140692984386467,0.0305249787293633,0,0,-0.220152929637321,0.00672370868731454,0.141919019801755,0.0311989336249261,0,0
"result.20",-0.0172898762603807,-0.00487657635457806,0.0868830847057991,0.0868830847057991,-0.00264520831260641,-0.0013656877499559,0.088371055329796,0.022176401479405,0,0,-0.00246384320312453,-0.00124431796076771,0.0883332766543108,0.022174307499691,0.0920224636416751,0.0819625031343405,0.122354077688453,0.0308352787449269,0,0,0.00996725441377847,0.025966507524322,0.121890411336595,0.0313656185045394,0,0,-0.0973128802668879,-0.0846938786342523,0.127597012248789,0.0318890567286839,0,0,-0.0445470069345398,-0.0357196602334781,0.123852062126908,0.031275588677778,0,0
"result.21",0.0482298927259813,-0.00419734131873729,0.0910791636381835,0.0910791636381835,0.00201235285434267,-0.000193651076969521,0.0926986806223795,0.022133955994739,0,0,0.00867095550201096,0.000225457933977758,0.0922223960579057,0.0221304681635613,0.142661661475957,-0.0435457405863189,0.124003337442837,0.0317137416756306,0,0,0.268537603444099,-0.00605763753114498,0.118622283814156,0.0312858579106777,0,0,-0.138636955767271,0.0431584384323799,0.138188125257685,0.0308905398378278,0,0,-0.172077817992136,-0.00233704510632959,0.138988493119279,0.0315931615232288,0,0
"result.22",0.0517234469551401,-0.00123593211759198,0.0896080829199249,0.0896080829199249,-0.00217006802758993,-0.000743665378837445,0.0928545130449294,0.0222002688172912,0,0,-0.00277016840420915,-0.000782662198275777,0.0923567097533628,0.0221977895766787,-0.295054907825468,0.0164555668323679,0.139533021263675,0.0313265600576089,0,0,0.022129925622681,-0.00186552212403861,0.122242012555118,0.0317008888548233,0,0,0.290714771770288,-0.0179428975900428,0.123099202087702,0.0314652824418744,0,0,0.0813169682875992,-0.000606342111145346,0.131207919772104,0.031178204442557,0,0
"result.23",-0.0349527613376056,0.0181273350505643,0.0958354380135619,0.0958354380135619,-0.000334159293386401,0.000480720477491623,0.0939348011541211,0.0222114808464384,0,0,-0.000280952953888094,0.000576901121725799,0.0938947124668184,0.0222096562863264,-0.00195909272614278,-0.0355786606254148,0.135065766795319,0.0316694191668446,0,0,-0.0236946951309279,-0.0164292165974235,0.133432353877576,0.031476752275513,0,0,0.00129077413936998,0.036540101580398,0.130621972746637,0.0311541357400024,0,0,-0.0462108275442833,0.0526838866985522,0.137631198511915,0.0309343746807461,0,0
"result.24",0.0567831126722522,0.0101887657077316,0.0898768804517111,0.0898768804517111,-0.000507659569237609,0.000206517540961904,0.0930274525213878,0.0221790504865463,0,0,0.00328685072364678,-0.000827777822086722,0.0925648865103346,0.0221733289395263,-0.222507154617681,-0.0959740965217361,0.139086892119328,0.0317812208570023,0,0,-0.118608831783836,-0.0498104008264649,0.129855474806348,0.0312421590848562,0,0,0.221491835479206,0.0963871316036599,0.124034477938204,0.0309506071402604,0,0,0.232175057128341,0.0701879322419282,0.124354731750843,0.0310401467566377,0,1
"result.25",0.0103127144760203,-0.0034542480960897,0.0931556298842107,0.0931556298842107,-0.000560252253500478,0.000145722218802173,0.0930584901996011,0.022172741593211,0,0,-0.000236883138360225,0.000306012535545479,0.0930086321552974,0.0221715653384293,-0.0586666414090398,0.0236476379240355,0.133624895319167,0.0311078583013838,0,0,-0.137205734047589,0.0238546653040212,0.136837207842736,0.0310162318657369,0,0,0.0575461369020389,-0.0233561934864312,0.129584262549312,0.0316061254508423,0,0,0.15783116299963,-0.0307631614962006,0.126646702544583,0.0316730073425571,0,0
"result.26",0.218342602580857,0.00698036517843039,0.0875722355175313,0.0875722355175313,-0.000136673655318525,0.000284784401377282,0.0973336809709202,0.0219808596132857,0,0,-0.00346960624237982,0.000419291517851281,0.0969280146302412,0.0219768770319828,0.267620146637172,0.0519581825070686,0.13051780904521,0.0307362042568459,0,0,0.35775667003968,0.0249373362022177,0.122066525692074,0.0311755769878738,0,0,-0.267893493947809,-0.0513886137043141,0.144783414364333,0.0314350552986095,0,0,0.0789285351220343,-0.0109766058453569,0.125625160620373,0.0309853529411221,0,0
"result.27",-0.140807683004708,-0.0298099656064048,0.0967400774876295,0.0967400774876295,0.00250497563471506,-0.00060156030674971,0.0914275374470047,0.0219202159131537,0,0,0.000689732990798659,-0.000137633690641106,0.0912426579151345,0.0219174751392642,-0.18729500821014,0.068574419121266,0.133969169644077,0.0304862936658961,0,0,-0.16283566234855,0.0321024752119922,0.133317119488524,0.0309441962615477,0,0,0.19230495947957,-0.0697775397347654,0.124626957219779,0.0315134396031608,0,0,-0.118779703660866,-0.0917224064248018,0.140305139727536,0.0316445664225904,0,1
"result.28",-0.205214391538678,-0.00754558124972816,0.0970933454825825,0.0970933454825825,0.00328913235322744,0.000878477521316227,0.087971257158547,0.0219554439636823,0,0,0.00513898826715445,0.000951509074766013,0.0878711056146083,0.0219534622623655,0.0693088802796018,0.00589925330911294,0.120903189990432,0.0307940386537257,0,0,-0.268938689044471,0.0014127177002834,0.142553179334302,0.0309569288560259,0,0,-0.0627306155731469,-0.00414229826648048,0.127917099954825,0.0313053345889982,0,0,-0.141490094032886,-0.0165038801997397,0.132068272660987,0.0313344617897386,0,0
"result.29",-0.0691653778409341,-0.0231207936405766,0.0948759736598177,0.0948759736598177,-0.00184951597217831,-0.000382260355602997,0.0945762656299176,0.0221897028404166,0,0,0.00160854618194229,-0.000371692918058158,0.0941862426274332,0.0221893315856798,-0.228873975433255,0.00320149701916687,0.141349610750603,0.0313130763808551,0,0,-0.220843331976504,-0.0188311547068011,0.135386540804746,0.0316549418593174,0,0,0.225174943488898,-0.00396601773037287,0.126152464314257,0.0314488810230367,0,0,0.082512576294636,-0.0274104325743521,0.132963236581387,0.0314888411923379,0,0
"result.30",-0.0510992549586998,-0.0247814461272508,0.0956862089136836,0.0956862089136836,-0.00130914774777633,-8.69069289204164e-05,0.0922253030362294,0.02188983309257,0,0,0.000988512987037726,-8.73834322403472e-05,0.0920538707001182,0.0218899298914291,0.0534658673028441,-0.00393165806031927,0.126130708672215,0.0309777551940826,0,0,-0.0583034886656868,0.0235861593680551,0.136648194279883,0.030656418899168,0,0,-0.0560841627983967,0.00375784420247844,0.134721840023393,0.0309360424811093,0,0,-0.0438950212517127,-0.0731490516225566,0.133993274475711,0.0317873422876865,0,1
"result.31",0.0125360166514375,-0.0345588195165575,0.0926414921708301,0.0926414921708301,-0.00184733446793419,0.000692180260218894,0.0939379083742569,0.0222135571988134,0,0,-0.00372011311729242,0.00070002712122273,0.0939300031144214,0.0222127340575051,0.0831893282605472,-0.0188400306777392,0.131850457335943,0.0315390193126377,0,0,-0.130607738389424,-0.0254533975692302,0.142161628179475,0.0315560808953738,0,0,-0.0868839971964156,0.020224391198177,0.133846070751728,0.0312904084055873,0,0,0.155679771692299,-0.0436642414638849,0.119868081153463,0.0320527890192539,0,0
"result.32",0.0428844957163107,0.000821817998720199,0.0981366251811584,0.0981366251811584,0.00280589760469719,-0.000211037685382812,0.100315013118316,0.0222667298774159,0,0,0.000929379397009556,-0.000296548691071964,0.100338427455786,0.0222672276079797,-0.0814168317262302,0.0224776492251654,0.142891807115865,0.0314117011684428,0,0,-0.0329376581513731,0.04184629933478,0.140950802676256,0.0311670971925861,0,0,0.0870286269356245,-0.022899724595931,0.140841897007249,0.0315681215962367,0,0,0.118706649583995,-0.0402026633373396,0.136621489917182,0.0316491209184148,0,0
"result.33",-0.0885601305646193,0.0104266086133982,0.101023059261944,0.101023059261944,-0.00315121157910517,-0.000578599813064762,0.0986946430680094,0.0219062627058134,0,0,-0.00413336855529497,-0.000515432274488404,0.0986674810795611,0.0219065023509227,0.101771516503114,0.0221288654403318,0.137010107978732,0.0308019457181805,0,0,0.0586469907802841,-0.0189790609600815,0.138034069993005,0.0314383922747091,0,0,-0.108073939661325,-0.0232860650664613,0.14214049754197,0.031158321920758,0,0,-0.235767251909523,0.0398322781868779,0.14770229104832,0.0306281069203015,0,0
"result.34",-0.264786265406553,-0.0125722878929977,0.101376244947705,0.101376244947705,0.000787763128879525,-0.00045086737182444,0.0888456388296345,0.0218780929379155,0,0,0.000714114118543922,-2.19841019783653e-05,0.0888401136659047,0.0218655261733085,-0.0046852862317927,-0.0772375163201005,0.124949985075677,0.0314846336390249,0,0,-0.0553067682845178,-0.0773819981285282,0.128628802596391,0.0310881891204333,0,0,0.00626081248955175,0.0763357815764516,0.126343429705465,0.0303959578642933,0,0,-0.474265762528588,0.0522374223425328,0.158106518418611,0.0307399365543401,1,0
"result.35",0.211157705282682,0.0459693091703759,0.0905599615528091,0.0905599615528091,-0.00291326099394506,-4.21633823260914e-05,0.0984335028462142,0.0221491900933874,0,0,-0.00280988269606854,-1.13893247933212e-05,0.0984392934684099,0.0221493286402124,-0.0285665234600764,-0.0050628524185532,0.140265168238392,0.0314499031816645,0,0,-0.0104823969192124,0.0386957017126548,0.14190007363393,0.0310847141371211,0,0,0.0227400014721862,0.00497852565390102,0.138146821195621,0.0311974668696322,0,0,0.432797807484575,0.0532429166280971,0.114242178038007,0.0306747282914885,1,0
"result.36",0.0221933506273091,0.0422865968837993,0.0953454217544132,0.0953454217544132,-0.00190612664692288,-0.000603351321250113,0.0964759055269236,0.0222536971314666,0,0,-0.000759102689525222,-0.00054723913150715,0.0960574493212685,0.0222533914920755,0.257333872444122,0.00617983193199823,0.128353784891903,0.031299928532889,0,0,0.241371278224685,0.062886806395711,0.126286508825643,0.0307309185613565,0,0,-0.261146125737968,-0.00738653457449846,0.144521283184898,0.0316430320596377,0,0,-0.196984576970067,0.0216863873718877,0.143391068284905,0.03118800096439,0,0
"result.37",-0.0885045380850285,0.0103163925530307,0.0881768851520837,0.0881768851520837,-0.00195487024894126,-0.000929400169777841,0.0853413147973205,0.0220083745666262,0,0,-0.00305224929119536,-0.000951224657591394,0.0853106466932411,0.0220078724176106,-0.0996486842342469,-0.0250457864679443,0.122487560522652,0.031255059743474,0,0,-0.0440627551643033,-0.0216029427293253,0.121273443844454,0.0313158282005822,0,0,0.0957389437363644,0.0231869861283886,0.118894129111593,0.0309940238523457,0,0,-0.132946321005754,0.0422357278353868,0.128128449895329,0.0308495907550195,0,0
"result.38",0.0783695961521012,-0.0151693496742753,0.094985611909663,0.094985611909663,0.000314833300489446,-0.000471758537722786,0.0964736961483218,0.0222706757285365,0,0,0.00107293780558202,-0.000276949955292195,0.0964408830369086,0.022269578579668,-0.0538279512085718,-0.0230821867872297,0.138991106353374,0.0317676708512168,0,0,0.168136986361358,-0.00689490380322263,0.127567929694715,0.0315263020559077,0,0,0.0544576178095507,0.0221386697117841,0.133877712657061,0.0312233124658026,0,0,-0.0113977940571557,-0.023443795545328,0.14109195149119,0.0319725001469601,0,0
"result.39",-0.188638025679771,-0.0523949363708591,0.0998029009090772,0.0998029009090772,0.00273179700706508,0.000366705552748661,0.090767276530376,0.0219339458002624,0,0,-0.00635800568979447,0.000298308163546098,0.0903519803067924,0.0219338881032818,0.346296042258587,-0.00907988753156097,0.12060320836845,0.0309632921461096,0,0,0.248413079341901,-0.0254664838461806,0.123190657117625,0.031328069940554,0,0,-0.340832448244457,0.00981329863705829,0.136125418609404,0.0310752751080653,0,0,-0.625689130701444,-0.0793233888955376,0.159094574941965,0.0317067568477298,1,1
"result.40",0.0476231715748803,0.0251720695047014,0.0873908689612701,0.0873908689612701,-0.00174764061320205,-0.0014252263737042,0.0919473075397905,0.022156281519226,0,0,-0.00293699960054818,-0.00143991808975742,0.0918733024488811,0.0221570144218831,-0.167336666463788,-0.0154371692639205,0.134227249780928,0.031401841422524,0,0,0.052521244910648,0.01962555757449,0.118567482301344,0.0313801167767653,0,0,0.163841385237384,0.012586716516512,0.125839008911996,0.0312655862099677,0,0,0.0427250982391125,0.0307185814349128,0.128611221923853,0.031221022671355,0,0
"result.41",-0.0517055073112225,0.0117693198513298,0.0905535624679146,0.0905535624679146,0.00108488628933487,0.00029037559176162,0.0905987780851859,0.021852643420507,0,0,0.00352485725944256,0.000358586785039737,0.0899598431193875,0.0218528246888686,-0.30611685077484,-0.0208559159791898,0.137114149748476,0.0310798009225099,0,0,-0.182577336347664,0.00277823817409301,0.127157469174521,0.0308336221654925,0,0,0.30828662335351,0.021436667162713,0.119137891656525,0.0307288084754586,0,0,0.079166321725219,0.0207604015285665,0.128966683152128,0.0306531181574398,0,0
"result.42",-0.200823463892374,-0.0350187001250682,0.0956035946664495,0.0956035946664495,-0.00602446560404613,-0.000719926541022858,0.085421944432234,0.0218108055925279,0,0,-0.0127938816220796,-0.000274943522405264,0.0855123799915947,0.0218074343251976,0.107619044904838,0.0472816294966488,0.121479014409954,0.0304169549831129,0,0,0.115994766700184,0.00814699655987977,0.120503179528417,0.0307273124521842,0,0,-0.11966797611293,-0.0487214825786945,0.120130730270739,0.031273319167359,0,0,-0.517641694484932,-0.0781843968100162,0.149904620849409,0.0315335423175265,1,1
"result.43",0.0359605981482689,-0.0209993948034082,0.0905810920113191,0.0905810920113191,-0.00229957986085569,-0.000208601188030643,0.0924664265176419,0.0220027917999573,0,0,-0.000439904915630113,-0.000225675124582142,0.0919235811259992,0.022002895677145,-0.246035119384525,0.00612643804074397,0.138139060544671,0.0311205096944137,0,0,-0.0907687322771903,-0.0182478599912292,0.129487151271016,0.0313993552107519,0,0,0.241435959662813,-0.00654364041680525,0.123395488346178,0.0311127834527285,0,0,0.162689928573728,-0.0237509296155872,0.12671486636293,0.0313689406516106,0,0
