"","cali_intc_extAvg_W0","cali_intc_extAvg_W1","cali_intc_estsd_extAvg_W0","cali_intc_estsd_extAvg_W1","cali_intc_byAvg_W0","cali_intc_byAvg_W1","cali_intc_estsd_byAvg_W0","cali_intc_estsd_byAvg_W1","cali_intc_rej_byAvg_W0","cali_intc_rej_byAvg_W1","cali_intc_byAgt_W0","cali_intc_byAgt_W1","cali_intc_estsd_byAgt_W0","cali_intc_estsd_byAgt_W1","cali_intc_byAvg_1fold_W0","cali_intc_byAvg_1fold_W1","cali_intc_estsd_byAvg_1fold_W0","cali_intc_estsd_byAvg_1fold_W1","cali_intc_rej_byAvg_1fold_W0","cali_intc_rej_byAvg_1fold_W1","cali_intc_extAvg_1fold_W0","cali_intc_extAvg_1fold_W1","cali_intc_estsd_extAvg_1fold_W0","cali_intc_estsd_extAvg_1fold_W1","cali_intc_rej_extAvg_1fold_W0","cali_intc_rej_extAvg_1fold_W1","cali_intc_byAvg_2fold_W0","cali_intc_byAvg_2fold_W1","cali_intc_estsd_byAvg_2fold_W0","cali_intc_estsd_byAvg_2fold_W1","cali_intc_rej_byAvg_2fold_W0","cali_intc_rej_byAvg_2fold_W1","cali_intc_extAvg_2fold_W0","cali_intc_extAvg_2fold_W1","cali_intc_estsd_extAvg_2fold_W0","cali_intc_estsd_extAvg_2fold_W1","cali_intc_rej_extAvg_2fold_W0","cali_intc_rej_extAvg_2fold_W1","cali_intc_byAvg_3fold_W0","cali_intc_byAvg_3fold_W1","cali_intc_estsd_byAvg_3fold_W0","cali_intc_estsd_byAvg_3fold_W1","cali_intc_rej_byAvg_3fold_W0","cali_intc_rej_byAvg_3fold_W1","cali_intc_extAvg_3fold_W0","cali_intc_extAvg_3fold_W1","cali_intc_estsd_extAvg_3fold_W0","cali_intc_estsd_extAvg_3fold_W1","cali_intc_rej_extAvg_3fold_W0","cali_intc_rej_extAvg_3fold_W1","cali_intc_byAvg_4fold_W0","cali_intc_byAvg_4fold_W1","cali_intc_estsd_byAvg_4fold_W0","cali_intc_estsd_byAvg_4fold_W1","cali_intc_rej_byAvg_4fold_W0","cali_intc_rej_byAvg_4fold_W1","cali_intc_extAvg_4fold_W0","cali_intc_extAvg_4fold_W1","cali_intc_estsd_extAvg_4fold_W0","cali_intc_estsd_extAvg_4fold_W1","cali_intc_rej_extAvg_4fold_W0","cali_intc_rej_extAvg_4fold_W1","cali_intc_byAvg_5fold_W0","cali_intc_byAvg_5fold_W1","cali_intc_estsd_byAvg_5fold_W0","cali_intc_estsd_byAvg_5fold_W1","cali_intc_rej_byAvg_5fold_W0","cali_intc_rej_byAvg_5fold_W1","cali_intc_extAvg_5fold_W0","cali_intc_extAvg_5fold_W1","cali_intc_estsd_extAvg_5fold_W0","cali_intc_estsd_extAvg_5fold_W1","cali_intc_rej_extAvg_5fold_W0","cali_intc_rej_extAvg_5fold_W1"
"result.1",-0.0168618712549973,-0.00302557335986187,0.0894910700206239,0.0894910700206239,-0.0162627136451487,-0.000311365207266529,0.0915424723024349,0.0218262785262505,0,0,0.000177606624683993,-6.93725815372561e-05,0.0904118878179053,0.0218221882038934,-0.339318228435865,0.0469786441327603,0.235710442155051,0.0480155488145583,0,0,-0.168135056134927,0.000991623504332478,0.207719359108295,0.0489256769571205,0,0,0.196404491791321,-0.0112205050590241,0.187007826666653,0.0490970655543536,0,0,0.0844189285386515,0.0179364099052469,0.196981346362596,0.0483758637476012,0,0,-0.1340742200088,-0.0189429114126207,0.216182492834441,0.0490876701663242,0,0,-0.0124059394156881,-0.0177992060217943,0.200092441026853,0.0486895503870573,0,0,0.0302986463661574,0.0128712115420305,0.193701321096746,0.0485255036315286,0,0,0.0866250468291252,0.0271656895040503,0.188165838882922,0.048031208979349,0,0,0.165375742061445,-0.0312432652394786,0.190873871730291,0.049299424235936,0,0,-0.0748123360921484,-0.0434223836911447,0.207581594345876,0.0496592053057437,0,0
"result.2",0.0617299124923083,0.031874130368955,0.08930323970344,0.08930323970344,-0.0132520927692695,-0.00203894139227926,0.0923286354782964,0.0220313362649982,0,0,0.00129398243973564,0.000367884334509166,0.0913651997430152,0.0219941650670688,-0.0744813891127161,-0.0308364048944938,0.208592853234173,0.0494949544918123,0,0,0.203788031803158,-0.00261427890507182,0.188068692291516,0.0495162338309684,0,0,-0.0306797550147832,-0.0389165984516852,0.198872989563024,0.0499335702150461,0,0,0.0852063590677181,0.0551969918336172,0.200291671413895,0.0481166491149118,0,0,0.373993258629429,-0.137978117739169,0.17912217322957,0.0516236680126475,0,0,0.275557928616242,0.0418183226122107,0.182516949494879,0.0476802211399445,0,0,-0.211209882700258,0.123785040253035,0.225540603603816,0.0472393186136529,0,0,0.0128475728032361,0.0369952717621071,0.202748371617986,0.049099874835075,0,0,-0.123882695648019,0.0737513738709163,0.220136906365765,0.0480263162853026,0,0,-0.268750329828813,0.027974344541912,0.224814888120974,0.0494701451210852,0,0
"result.3",0.10146831989919,0.0028514233998928,0.0908628541656215,0.0908628541656215,-0.00213440271147534,6.68201756301698e-05,0.0950652409698694,0.0216154160545104,0,0,-0.00149307313846259,0.000520688933381478,0.0949936160335434,0.0216074442027863,0.0682710128899621,-0.0306341747514839,0.207780116552852,0.0487377880978111,0,0,0.138202273138304,0.0178672541202799,0.207389176030265,0.0478495647464244,0,0,-0.0418666065079624,-0.00445433745024311,0.215933835325468,0.049062899409872,0,0,0.0603855897033796,0.0511804702016539,0.203536436192186,0.0475828551234294,0,0,-0.133501396478498,-4.62950363525861e-05,0.220147534143302,0.0481886850836988,0,0,-0.10560987247967,-0.0837639303599148,0.22046216388959,0.0503832215805337,0,0,0.0646778262464534,0.068458618419161,0.210742926373534,0.0470327779193382,0,0,0.145449356607815,0.0506724370966533,0.197539329630568,0.04729928550772,0,0,0.0317471502926681,-0.0329897103029306,0.208257293134975,0.0486455477884073,0,0,0.26891425252612,-0.0216991140592083,0.186950486977289,0.0485695807583074,0,0
"result.4",0.229160552614698,-0.0455644749948396,0.0908911978371406,0.0908911978371406,-0.023204347167312,-0.00128616250038475,0.100220452977771,0.0218196852630144,0,0,0.00155954582826352,-6.11051262647426e-05,0.0984499602234837,0.0217997498414259,0.319730700036454,-0.0480038726317369,0.193351478542619,0.0496956399808595,0,0,0.257052731072254,0.0255480878541128,0.215986617733979,0.0474902504967735,0,0,0.288298583750225,0.0814931824519138,0.201334850535421,0.0472340786294364,0,0,0.436974689705542,-0.0464298111274052,0.19037731096376,0.0499980039597159,1,0,-0.325909350189317,0.0428171526222596,0.258463948748163,0.0479984343249385,0,0,-0.269333927396908,-0.0711462285865987,0.241218528743637,0.0496398083355651,0,0,-0.220469780647773,0.00161784739111846,0.23671238298041,0.0489129590183605,0,0,0.243449399307873,-0.0609341827337929,0.188326553493314,0.0494220368490696,0,0,-0.177671888786149,-0.0843551223354786,0.230636067163978,0.0501103855251583,0,0,0.477659870384731,-0.0748602403805143,0.180285473666452,0.049332055309389,1,0
"result.5",-0.0787611285501627,0.0239491236047083,0.0936180200465844,0.0936180200465844,-0.014279124585292,-0.000271333210890261,0.0916828402799157,0.0219977284267813,0,0,-8.17302379973581e-05,-5.14724312312777e-05,0.0906404362485675,0.0219943669374027,0.148795358129491,0.0304780277308136,0.192573199059265,0.0488135897148549,0,0,-0.413340377659348,0.0665046068166361,0.242403014219636,0.0477918686875905,0,0,-0.442101501427013,0.0183615607057304,0.243000029220093,0.0488067704557177,0,0,-0.086660489066288,0.0110960399927201,0.204074726758996,0.0487660840036483,0,0,-0.0204861802497849,-0.0133599552129392,0.194232734230018,0.049696362431761,0,0,-0.106599923619242,-0.00546060220798715,0.216153911178782,0.0489107011784738,0,0,0.134946474911728,0.00794398282473857,0.193916286080449,0.0487294679664887,0,0,0.0127761492754853,0.0598796147692545,0.204589472169267,0.0481109430441644,0,0,0.10745022570912,-0.0447802821027947,0.201323067590913,0.0498958899954898,0,0,0.200018998318579,-0.0122740413470818,0.179460159388824,0.0493011346912878,0,0
"result.6",0.104986561899366,-0.0232371677008295,0.0930855426957329,0.0930855426957329,-0.0104227083479575,-0.000443529151247842,0.0968731461746088,0.0219459227026612,0,0,-0.00293330689470705,-0.0001121432652255,0.096109009286058,0.0219397131892421,0.020542696523334,-0.0419637975725014,0.21590370031389,0.0494547929402299,0,0,0.466904045976199,-0.0541788394901213,0.179391573333322,0.0494554701791578,0,0,0.305947423466348,-0.0333847422646628,0.196916215177997,0.0491772171216095,0,0,-0.187809520098599,-0.091481386597045,0.244565929743722,0.0512933332581874,0,0,-0.297023211187038,-0.0133883197408806,0.242510738627468,0.0496383232386711,0,0,-0.00942926827194209,0.0521698939410141,0.211887542308746,0.0478506885738135,0,0,0.122301237977747,-0.0184613994797331,0.207541215587445,0.0493531808114665,0,0,0.329556483087751,-0.0265832320142532,0.18805716012769,0.0494512156166979,0,0,-0.203881688520179,0.104980613301539,0.220202830496695,0.0477393608485543,0,0,-0.0742889311965785,0.00388772565625779,0.21682580043711,0.049651266183283,0,0
"result.7",0.0545824206403426,-0.0166036104778058,0.0899444733564871,0.0899444733564871,-0.0161638659456954,4.25664745912662e-05,0.0933963955282313,0.0218928588659481,0,0,-0.00013528471776917,0.000109892814076606,0.0923575906202412,0.0218914031670816,-0.375834660937651,-0.00644180298523169,0.237669341897563,0.0491537151440926,0,0,0.325391379417011,-0.0182755040439158,0.178956297025475,0.0490891377686895,0,0,0.350916286971037,-0.0118078080160776,0.181760204783487,0.0494471621834487,0,0,0.0111327569479306,-0.0621690341641392,0.210556513658547,0.0503417375445495,0,0,-0.103279752385604,0.024607588175246,0.210713720925031,0.0485751778206627,0,0,-0.24770518940723,0.0979683384867789,0.229477877480109,0.0471095030200036,0,1,0.0797465034731673,0.00658525138804097,0.203579974100348,0.0486878314364343,0,0,0.127028118984538,-0.0344621346035065,0.190458052460087,0.0496561041128221,0,0,-0.0323677068494265,-0.0127303961890214,0.210480204566483,0.0489057166457065,0,0,0.0570650372594627,-0.0660797180642465,0.196161042503402,0.049932474021788,0,0
"result.8",-0.0440708057653843,0.0340809603259736,0.0917349783862607,0.0917349783862607,-0.00257281568507486,0.000141313907914422,0.090167017885373,0.022149780244053,0,0,-0.00150876192288132,0.000304971886337233,0.0900578595039305,0.0221469694790452,-0.0740495544109943,0.00522719906496144,0.207657214869563,0.0495138171277346,0,0,-0.00778741935202735,-0.0272918882287941,0.196525808951761,0.0502142033630126,0,0,-0.171192500465168,-0.0163048417603343,0.209107968787662,0.0495919514574673,0,0,-0.157353696752812,0.0622352866928777,0.216203746407567,0.0487907789677093,0,0,0.138721367803147,-0.0417750183966473,0.192478795263728,0.0501154545285434,0,0,-0.148185016833477,0.0583317623052713,0.220127482897168,0.048564588747475,0,0,0.19369011750433,0.043133722346334,0.193743945382076,0.048742670563005,0,0,0.081983328307648,0.0233338793928504,0.192565445069554,0.0497040017907258,0,0,-0.100033508856689,0.0104255082852582,0.205109982297638,0.0496781778851715,0,0,0.0109887758037477,0.0537957614676626,0.200205754604716,0.0484259141179986,0,0
"result.9",-0.441754890249554,0.047444995589247,0.108072188625783,0.108072188625783,-0.00860440899187304,-0.000970599994191409,0.0878586038792499,0.0221195714664656,0,0,-0.000377480542993652,-0.000189376859774241,0.0872682381618253,0.0221065006365425,-0.243437100368842,-0.0416552248678299,0.220606160132094,0.0501592076496608,0,0,-0.461291033356509,0.0477305350737215,0.229258273985489,0.0483966666773644,0,0,0.152897683209634,0.0368467940029636,0.185458056579511,0.0488624385309469,0,0,-0.505742641934638,0.0986688179273111,0.257019137783988,0.0473286207868878,1,1,-0.00378341675688756,0.0709922633204081,0.187927421115631,0.0481448353446144,0,0,-0.923043745215524,0.0410364264401011,0.294725989241717,0.0488346910243046,1,0,-0.0380303193496584,-0.00731692309410085,0.199993210515639,0.0496410101474076,0,0,-0.177678638983847,-0.0143132305852414,0.220047521542049,0.0496546171344241,0,0,0.0893311083063892,-0.063719909332398,0.188304205068271,0.0504968354882799,0,0,-0.14101839175725,0.0641024290903429,0.207232878668912,0.0482413801586038,0,0
"result.10",-0.0695568083419039,-0.00836183570134715,0.0894194657580094,0.0894194657580094,-0.0135786131865835,-0.000602582355533802,0.086916691291684,0.0218937519652602,0,0,-0.000731717139979668,0.000287937024175891,0.0858808695458294,0.0218781968990501,-0.534025922037148,-0.0268103987720357,0.22997245719114,0.0498316126459519,0,0,-0.193204659015662,-0.0375139317023153,0.198394652258782,0.048897789141832,0,0,0.241476534345689,0.00987366520741298,0.1824559721135,0.0487771658189248,0,0,-0.331145693243591,0.0137284934382845,0.22478160411279,0.0492022047487908,0,0,0.0982920706240098,-0.0741349886895114,0.188531445046065,0.0501218440870813,0,0,0.0762978669247411,-0.0170337552982525,0.194185368392746,0.04880927831877,0,0,0.0464760227180137,-0.0163683965174682,0.185261550688843,0.0486400272352526,0,0,0.12043289978308,-0.0179710880805577,0.18557139604509,0.0489057890037962,0,0,0.0798882284165174,0.104427206993933,0.185536725498298,0.047408938596996,0,0,-0.0201644561580885,0.0169811031361052,0.19680699892371,0.0493109243644787,0,0
