"","cali_intc_extAvg_W0","cali_intc_extAvg_W1","cali_intc_estsd_extAvg_W0","cali_intc_estsd_extAvg_W1","cali_intc_byAvg_W0","cali_intc_byAvg_W1","cali_intc_estsd_byAvg_W0","cali_intc_estsd_byAvg_W1","cali_intc_rej_byAvg_W0","cali_intc_rej_byAvg_W1","cali_intc_byAgt_W0","cali_intc_byAgt_W1","cali_intc_estsd_byAgt_W0","cali_intc_estsd_byAgt_W1","cali_intc_byAvg_1fold_W0","cali_intc_byAvg_1fold_W1","cali_intc_estsd_byAvg_1fold_W0","cali_intc_estsd_byAvg_1fold_W1","cali_intc_rej_byAvg_1fold_W0","cali_intc_rej_byAvg_1fold_W1","cali_intc_extAvg_1fold_W0","cali_intc_extAvg_1fold_W1","cali_intc_estsd_extAvg_1fold_W0","cali_intc_estsd_extAvg_1fold_W1","cali_intc_rej_extAvg_1fold_W0","cali_intc_rej_extAvg_1fold_W1","cali_intc_byAvg_2fold_W0","cali_intc_byAvg_2fold_W1","cali_intc_estsd_byAvg_2fold_W0","cali_intc_estsd_byAvg_2fold_W1","cali_intc_rej_byAvg_2fold_W0","cali_intc_rej_byAvg_2fold_W1","cali_intc_extAvg_2fold_W0","cali_intc_extAvg_2fold_W1","cali_intc_estsd_extAvg_2fold_W0","cali_intc_estsd_extAvg_2fold_W1","cali_intc_rej_extAvg_2fold_W0","cali_intc_rej_extAvg_2fold_W1","cali_intc_byAvg_3fold_W0","cali_intc_byAvg_3fold_W1","cali_intc_estsd_byAvg_3fold_W0","cali_intc_estsd_byAvg_3fold_W1","cali_intc_rej_byAvg_3fold_W0","cali_intc_rej_byAvg_3fold_W1","cali_intc_extAvg_3fold_W0","cali_intc_extAvg_3fold_W1","cali_intc_estsd_extAvg_3fold_W0","cali_intc_estsd_extAvg_3fold_W1","cali_intc_rej_extAvg_3fold_W0","cali_intc_rej_extAvg_3fold_W1","cali_intc_byAvg_4fold_W0","cali_intc_byAvg_4fold_W1","cali_intc_estsd_byAvg_4fold_W0","cali_intc_estsd_byAvg_4fold_W1","cali_intc_rej_byAvg_4fold_W0","cali_intc_rej_byAvg_4fold_W1","cali_intc_extAvg_4fold_W0","cali_intc_extAvg_4fold_W1","cali_intc_estsd_extAvg_4fold_W0","cali_intc_estsd_extAvg_4fold_W1","cali_intc_rej_extAvg_4fold_W0","cali_intc_rej_extAvg_4fold_W1","cali_intc_byAvg_5fold_W0","cali_intc_byAvg_5fold_W1","cali_intc_estsd_byAvg_5fold_W0","cali_intc_estsd_byAvg_5fold_W1","cali_intc_rej_byAvg_5fold_W0","cali_intc_rej_byAvg_5fold_W1","cali_intc_extAvg_5fold_W0","cali_intc_extAvg_5fold_W1","cali_intc_estsd_extAvg_5fold_W0","cali_intc_estsd_extAvg_5fold_W1","cali_intc_rej_extAvg_5fold_W0","cali_intc_rej_extAvg_5fold_W1","cali_slp_extAvg_W0","cali_slp_extAvg_W1","cali_slp_estsd_extAvg_W0","cali_slp_estsd_extAvg_W1","cali_slp_byAvg_W0","cali_slp_byAvg_W1","cali_slp_estsd_byAvg_W0","cali_slp_estsd_byAvg_W1","cali_slp_rej_byAvg_W0","cali_slp_rej_byAvg_W1","cali_slp_byAgt_W0","cali_slp_byAgt_W1","cali_slp_estsd_byAgt_W0","cali_slp_estsd_byAgt_W1","cali_slp_byAvg_1fold_W0","cali_slp_byAvg_1fold_W1","cali_slp_estsd_byAvg_1fold_W0","cali_slp_estsd_byAvg_1fold_W1","cali_slp_rej_byAvg_1fold_W0","cali_slp_rej_byAvg_1fold_W1","cali_slp_extAvg_1fold_W0","cali_slp_extAvg_1fold_W1","cali_slp_estsd_extAvg_1fold_W0","cali_slp_estsd_extAvg_1fold_W1","cali_slp_rej_extAvg_1fold_W0","cali_slp_rej_extAvg_1fold_W1","cali_slp_byAvg_2fold_W0","cali_slp_byAvg_2fold_W1","cali_slp_estsd_byAvg_2fold_W0","cali_slp_estsd_byAvg_2fold_W1","cali_slp_rej_byAvg_2fold_W0","cali_slp_rej_byAvg_2fold_W1","cali_slp_extAvg_2fold_W0","cali_slp_extAvg_2fold_W1","cali_slp_estsd_extAvg_2fold_W0","cali_slp_estsd_extAvg_2fold_W1","cali_slp_rej_extAvg_2fold_W0","cali_slp_rej_extAvg_2fold_W1","cali_slp_byAvg_3fold_W0","cali_slp_byAvg_3fold_W1","cali_slp_estsd_byAvg_3fold_W0","cali_slp_estsd_byAvg_3fold_W1","cali_slp_rej_byAvg_3fold_W0","cali_slp_rej_byAvg_3fold_W1","cali_slp_extAvg_3fold_W0","cali_slp_extAvg_3fold_W1","cali_slp_estsd_extAvg_3fold_W0","cali_slp_estsd_extAvg_3fold_W1","cali_slp_rej_extAvg_3fold_W0","cali_slp_rej_extAvg_3fold_W1","cali_slp_byAvg_4fold_W0","cali_slp_byAvg_4fold_W1","cali_slp_estsd_byAvg_4fold_W0","cali_slp_estsd_byAvg_4fold_W1","cali_slp_rej_byAvg_4fold_W0","cali_slp_rej_byAvg_4fold_W1","cali_slp_extAvg_4fold_W0","cali_slp_extAvg_4fold_W1","cali_slp_estsd_extAvg_4fold_W0","cali_slp_estsd_extAvg_4fold_W1","cali_slp_rej_extAvg_4fold_W0","cali_slp_rej_extAvg_4fold_W1","cali_slp_byAvg_5fold_W0","cali_slp_byAvg_5fold_W1","cali_slp_estsd_byAvg_5fold_W0","cali_slp_estsd_byAvg_5fold_W1","cali_slp_rej_byAvg_5fold_W0","cali_slp_rej_byAvg_5fold_W1","cali_slp_extAvg_5fold_W0","cali_slp_extAvg_5fold_W1","cali_slp_estsd_extAvg_5fold_W0","cali_slp_estsd_extAvg_5fold_W1","cali_slp_rej_extAvg_5fold_W0","cali_slp_rej_extAvg_5fold_W1"
"result.1",0.0019210275132091,0.0228422503275674,0.0377544028912685,0.0377544028912685,-0.00385913280662576,-4.1121847830307e-05,0.0377677416177163,0.00904425848465707,0,0,-4.95557420111548e-05,-2.744024512417e-05,0.0376549068010587,0.00904414448689684,-0.108176545248926,0.00856458605998348,0.0870757132344585,0.0202249409768738,0,0,-0.0226889900623169,0.0463799778203671,0.0841311620451827,0.0198677462442626,0,0,0.155426515160014,-0.00178673468705297,0.0793079895908024,0.0202282954071258,0,0,0.0211661224044671,0.013086744416751,0.0850270651476433,0.020092959757709,0,0,0.108552183887427,0.00774916025279467,0.0815846933735458,0.0201324587996641,0,0,-0.0444777745075064,0.0175497653811293,0.0862698370269759,0.0200828571756596,0,0,-0.020277994228722,-0.0119961023756802,0.0854256902423169,0.0203176832904893,0,0,0.0550957977341083,0.00710414643530838,0.0830149576104548,0.0202011065092222,0,0,-0.154819823602921,-0.00273651848919651,0.0888621016281841,0.0202145054147092,0,0,0.00050998199729337,0.0300906175842814,0.083664034743698,0.0200438149637049,0,0,1.00376568492098,0.985993256486082,0.0348172517549867,0.0348172517549867,1.0493760169612,0.997089809589089,0.0348572985477227,0.0085325693111448,1,1,1.04213958297699,0.99675232844191,0.0346614740943582,0.00852970349766903,1.05826438967892,1.02709936043884,0.0808795945752443,0.0193708390712189,0,0,1.02648589400795,1.02036784588777,0.0773744706147538,0.0191024617926761,0,0,0.989502783413201,0.989844511879629,0.071235409556508,0.0191526981304349,0,0,1.16978069025239,0.976983984005492,0.0824335512001042,0.0187434237132781,0,0,0.98201321919193,0.994357151835989,0.0744216344776381,0.018871969984703,0,0,1.08212494262738,0.968213816139137,0.079467736979877,0.0186892506201181,0,0,1.10993589210787,0.958355563527296,0.0803035432115184,0.018753262414211,0,0,0.875136513765552,0.970098572951839,0.0746585667969706,0.0188107885353343,0,0,1.1071638004141,1.01579246026369,0.0828762635026546,0.0192482554116738,0,0,0.865300383951651,0.994302063446178,0.075334382977665,0.0189439903101595,0,0
"result.2",-0.0151523159080946,-0.00289727239760397,0.037425233141403,0.037425233141403,-0.000915254089573124,-0.000396395518440658,0.0373316298815796,0.00901532253548566,0,0,1.21146910958721e-05,-5.44681914870044e-05,0.0372993430880998,0.00901256766798497,0.112980919101135,0.0323023283402569,0.0807196197140777,0.0199723559335339,0,0,0.0572337498171749,0.010860719961806,0.0822448261843973,0.0201415549341378,0,0,-0.054277420796854,0.0125183110087198,0.0846304228546651,0.0200732892863078,0,0,-0.0824507586718327,-0.00425161660233117,0.0851979434123124,0.0201385024005373,0,0,-0.0624589476379704,-0.0388760098446847,0.085687708832347,0.0203647647935024,0,0,-0.0795288929144758,-0.0153243170998444,0.0866889146126805,0.0202680092361309,0,0,0.0423776737046727,0.0627042874779737,0.0820622882024501,0.0198368552160824,0,0,0.105573327067088,0.0290009100025344,0.0796271430268583,0.0200123115996166,0,0,-0.043198494818849,-0.070630894574469,0.084280271026832,0.0205471049127319,0,0,-0.0765890048384277,-0.0347720582501847,0.084667999653527,0.0203003441623627,0,0,0.993356137612223,1.01101524872635,0.0342893049205965,0.0342893049205965,0.968980035740334,1.00218980680492,0.0344784483531902,0.0086754797711928,1,1,0.966527912116032,1.00126498998081,0.0343371117337074,0.00866916026669745,1.07175865583776,0.999897625992377,0.0757382474282126,0.0192146480043731,0,0,0.979286807870261,1.03340859864389,0.0743539331844031,0.0194768994448669,0,0,0.922853150250998,0.985382280435021,0.0779947185659248,0.0190887765943327,0,0,0.969039804410481,1.01825245643364,0.0767165411559174,0.0194219541075122,0,0,0.957057226639664,0.998665802902821,0.0808666535635833,0.0195956702205565,0,0,0.952240856963188,0.999797591227689,0.0787607042785317,0.0195077986611106,0,0,0.85691478414491,1.00152767384143,0.0715250605861338,0.0190910505678371,0,0,1.15592761437494,0.997553078328055,0.0765789260465531,0.019175093308396,0,0,1.03631636182834,1.02547565085297,0.0793560912383907,0.0200046671419576,0,0,0.91028560444224,1.00606451899848,0.0769559788529536,0.0194734265010582,0,0
"result.3",-0.0408132855679059,-0.0156836158804105,0.0372797390042822,0.0372797390042822,-0.00574007672807775,-0.000223965299126987,0.0363724920698948,0.0089285936979375,0,0,-0.000347557408122756,1.71588849752585e-05,0.0362219585608945,0.00892701714020441,-0.0781049586679533,-0.0491744553364403,0.0834528937975808,0.0202992049791153,0,0,0.0236923768268835,-0.0570985426411424,0.0817868772645869,0.0202473471477474,0,0,-0.0448534248056627,-0.0142657219799765,0.0817282305303444,0.0200286694523557,0,0,-0.200866925298147,0.00497418094393268,0.0877136487047251,0.0199550972346808,1,0,-0.180494849865508,0.0233876363228997,0.086523322633473,0.019804386032224,0,0,-0.157778171257231,0.0109480358529824,0.0854972941292387,0.0199274581960846,0,0,0.269066999400786,0.00222966427078319,0.0744880395805164,0.0199548559298509,0,0,0.114438736695174,-0.0307103002644082,0.079649718510202,0.0202029236302069,0,0,0.00568585029794866,0.036703050227099,0.0804643373548692,0.0197375958667766,0,0,0.0164475551937915,-0.00653145329341688,0.0821526143763735,0.020063987269641,0,0,1.01039553970787,0.999320466321689,0.0349552618739897,0.0349552618739897,1.07152358282982,0.994911226712402,0.0340675762400648,0.00854300081392809,1,1,1.06897198092011,0.994724814797444,0.0338590554866823,0.00854086334808501,1.0098732489053,1.00996852369842,0.0781459142959967,0.0194558276941718,0,0,1.02151070764966,0.996279862061357,0.0771076215368074,0.0193506848491596,0,0,1.10526897392524,0.989198057588483,0.0756591742202466,0.0192243543385341,0,0,0.996510573705407,0.981107673901123,0.0815307843651125,0.0191770759690796,0,0,1.09453951518905,0.988801928347,0.0807583234162099,0.0188006392644271,0,0,0.939902473171639,0.96671541413193,0.0780898419177764,0.0188419535315076,0,0,1.18872263579011,0.983840896316657,0.0731051767907605,0.0190941337328104,0,0,1.03696638113185,1.03647954491924,0.0755394605833072,0.0196454215816544,0,0,0.959213540339408,1.00274672761145,0.0732184927839945,0.0189386977289529,0,0,1.0570875628808,1.01601983659479,0.0785440002047348,0.0194625713200419,0,0
"result.4",-0.0020745703328117,0.000929826285011522,0.0373137282349897,0.0373137282349897,-0.00166180058854926,-3.99724232399948e-05,0.0374276465351158,0.00898405311871045,0,0,0.000172461256091508,1.35057927998042e-06,0.0373766129176693,0.00898363900271368,0.11744624666232,-0.0094756147155746,0.0797041149225767,0.020086619371705,0,0,0.085430472900714,-0.0247874073699349,0.0814212941959141,0.0202440301602507,0,0,-0.0401315384592929,0.00685697022198478,0.0851762270470872,0.0200354181588247,0,0,0.0472313645357256,0.000994811722477555,0.0810065721154582,0.0200949148460028,0,0,0.0233152576208547,0.00161369246445937,0.0821430422873743,0.0201407754766044,0,0,0.0541128142447498,0.00407335582192368,0.0812580232717127,0.020106314934466,0,0,-0.0133651606620279,-0.0226009936535708,0.0851988116388111,0.0202309906579921,0,0,-0.252088053075604,0.0249126930592477,0.0932015485824532,0.0198603412716821,1,0,-0.0955738081045998,0.0234060835665013,0.0862316135559182,0.0199509637694016,0,0,0.0549405497303565,-0.00054432180865643,0.0802927259714128,0.0201502359715702,0,0,0.991986261091473,1.00153966621189,0.035102351519583,0.035102351519583,0.983455683872136,1.00129956747173,0.0343955114670869,0.00860312374814355,1,1,0.980889483541697,1.00083465696381,0.0342985705163418,0.00860004307318971,1.0402601070418,1.02159368018055,0.0749517334856962,0.0194620462526607,0,0,0.984681957156082,1.01635160865077,0.0771540721531071,0.0196246782086705,0,0,0.967751689079213,1.02936834873712,0.0771811835093034,0.0194284550606977,0,0,0.997826873620417,1.00875371985595,0.0753299228808915,0.0193076154342358,0,0,0.935187152448847,0.978617758863645,0.0754103197674708,0.0189587270804509,0,0,1.00936444285782,0.9897272535218,0.0758023349449193,0.0190691960104678,0,0,0.88251045512364,1.00437076523737,0.0754596334612987,0.0195107107320948,0,0,0.916263892200404,0.976902134901899,0.0872550368765081,0.0189132991448287,0,0,1.09156901566718,0.972547284339959,0.0815506385826297,0.0188259084725546,0,0,1.05179413962264,1.01596361412906,0.0769148539839771,0.0192974571292162,0,0
"result.5",0.0538921833386939,0.0396645107495598,0.0368787286680122,0.0368787286680122,-0.0051088489607172,-0.000192609996417453,0.037691057040451,0.00905742281528886,0,0,-0.000218643967255728,-3.83895428128543e-05,0.0375399506182859,0.00905633634672908,-0.103123482124151,0.0552540658507297,0.0861653618781886,0.0199448417123315,0,0,0.0842699920522093,0.0318861046796229,0.0813617328430741,0.0201088310873222,0,0,-0.153368905813697,-0.023319166828749,0.0888629076332951,0.0203886678585397,0,0,-0.07337055208069,0.020063086858001,0.0857369702689045,0.0200254929410279,0,0,0.0089465008878076,0.0140862053627816,0.0832288864240878,0.0201860152535285,0,0,0.0936836203012463,0.0607195935647754,0.0800431918129475,0.0198131158979688,0,1,-0.0474509023747039,-0.0224660394800239,0.0859794618896083,0.0203619977079394,0,0,0.136339402030173,0.0612581937496343,0.0796826878416042,0.0197119496471422,0,1,0.269452544621158,-0.0245181148868257,0.0771622106061726,0.020383543047378,0,0,0.0285384543905313,0.0243955748957656,0.0854921383606978,0.0200060069537626,0,0,1.02653791971242,1.00783736858929,0.0348432907165945,0.0348432907165945,1.02711936997272,0.998356842756752,0.0350070799036411,0.00865967326324212,1,1,1.02094201634093,0.99762810101815,0.0347476795714535,0.0086558095209731,1.17846126356465,0.991926322222817,0.0823102295124575,0.0191740744429686,0,0,0.949908735454242,1.01256978119563,0.0771628921211829,0.019368383011376,0,0,0.953544138089319,1.02632948139229,0.0831588258831789,0.0196801416805426,0,0,0.995538608938871,1.00082952424184,0.0805904622310444,0.0194248004472334,0,0,0.970939019630089,0.961368366392148,0.0762488495228665,0.0189351591033214,0,0,0.959117238143461,1.00645884133041,0.0728899184640162,0.0189326987185125,0,0,1.04183982368723,1.00789463504112,0.0787526233506969,0.0194892914096365,0,0,1.1454754735657,1.01233334247612,0.077494217355931,0.0189191319148182,0,0,0.990812604892298,1.00426540873539,0.0709205235223414,0.019539423761265,0,0,1.08264954245984,1.00699535370243,0.0814223428382885,0.0192760445686272,0,0
"result.6",-0.0231433461025087,0.00922856626024794,0.0376562998690366,0.0376562998690366,-0.00152026142015287,-0.00017628351680663,0.037319789699308,0.00900128574185268,0,0,0.000158047209742053,-1.18026833282045e-05,0.0372706481092223,0.00900023868155628,-0.0140896757638109,0.0481384933748488,0.0836556763171995,0.0198236899745581,0,0,-0.0267503543583238,0.0167438101823514,0.0840454841472573,0.0200653629904904,0,0,-0.077581208706194,-0.0205187236105009,0.0851115420578731,0.0202395541105071,0,0,0.0392684094835185,0.0238208155795798,0.0810920837628607,0.01991469156876,0,0,-0.048205769569882,-0.0206965166127978,0.0858667220635162,0.0202256495328071,0,0,-0.0098390949253204,-0.0076202492913778,0.0841421320637384,0.020181714068006,0,0,0.0234063761052049,0.00355628428931388,0.0833686117352445,0.0200708062310375,0,0,-0.1667457697758,0.00276567455521322,0.0894176707926646,0.0201559443220936,0,0,0.108868970833918,-0.0113609550248971,0.0792453811944128,0.0202777341695014,0,0,0.0483500790633818,0.0104327802754731,0.0823128606748908,0.020067407392584,0,0,0.957146543599561,0.987921984903913,0.0344037370365254,0.0344037370365254,1.02155211447543,0.999024506609514,0.0347729731094866,0.00854193471227625,1,1,1.01194759308628,0.998851742684935,0.0345093071815653,0.00854022591367797,0.959864529534657,1.00567132827048,0.0771979434946344,0.0189052360520627,0,0,0.934049866165415,1.00000573031352,0.0755202947946543,0.019082621601721,0,0,1.07868954470787,0.983392864193827,0.079432115779923,0.0191305722197743,0,0,1.03882936271314,1.00273800511112,0.0763485153094312,0.0189902804951619,0,0,1.14327852048383,0.981926775119815,0.0827669608149389,0.0190147966876458,0,0,0.969297440235478,0.980919942593905,0.0755500980585865,0.019127819219794,0,0,1.06787669202042,1.01097367897598,0.0797649314600208,0.0192083780462539,0,0,0.850170092516217,0.969492450765437,0.0792306327233011,0.0189762853845051,0,0,0.85805128563038,1.01315788648747,0.0696117067134047,0.0192427503743373,0,0,0.99338595636755,0.986453795735589,0.0779959325825172,0.0189065593449697,0,0
"result.7",0.0219817686076832,0.00408449723187983,0.0375098302094854,0.0375098302094854,-0.0012471415698787,-1.85723244186667e-05,0.037791526024753,0.00898706861813928,0,0,-0.000156045789801429,1.73908252336184e-05,0.037755714993927,0.0089868528832253,-0.040541326850531,0.0180029139992172,0.0852919402687908,0.0199703386813977,0,0,0.0487335934715754,0.0286815917506682,0.0821703352280717,0.0199147062492134,0,0,0.0770095684426516,-0.0147487608131061,0.0824201660276766,0.0201986072446441,0,0,0.00556838454241213,-0.00286820378263545,0.0841263647975666,0.0200576895369137,0,0,0.0652843611386957,-0.00338228507846546,0.0818626272721747,0.0201300697593844,0,0,0.152655946699244,0.00289005701970308,0.0796028188575113,0.0200893765919466,0,0,-0.0275086702904261,0.00144283769191577,0.0865131958970402,0.0200671855908961,0,0,-0.0711963817716853,-0.0260521457459438,0.0880094771788267,0.0202490375078527,0,0,-0.0804796402897837,-0.00140756742165475,0.0864341763583183,0.0201122804667504,0,0,-0.0258526999031309,0.0177711869176072,0.0854636548024463,0.0199533226338336,0,0,1.02325019465297,1.00929430230687,0.0349058533223821,0.0349058533223821,1.00354664817182,0.999617765387091,0.034747591683596,0.00862229179216885,1,1,1.0011939952624,0.99940983045288,0.0346455581272246,0.00862113355630193,1.15246971557719,0.983239163754905,0.0820504938975469,0.0191213904718542,0,0,1.09185825351297,1.01787023232884,0.0765410401936274,0.0191577741184665,0,0,0.983318193962191,0.986797782148608,0.0764042745007907,0.0192651435192255,0,0,1.04580332209964,1.01914035996349,0.0771113472299876,0.0193573005032286,0,0,0.997181556988117,1.02463893392946,0.0739963872456712,0.0196176727166007,0,0,1.03355143742792,0.990020002997992,0.0768934348720691,0.0193309466229104,0,0,0.979840388741215,1.01506271088716,0.0787333394360933,0.0193116299252432,0,0,0.894845101959792,1.02048399272526,0.0783270557834485,0.0194791662772787,0,0,0.904923385590408,0.988350236215328,0.0773053902145334,0.0190843162127164,0,0,1.05019285826452,0.998956923518749,0.0813864261282842,0.019043993505072,0,0
"result.8",-0.0400042245655163,-0.00842478594222673,0.0378108245080616,0.0378108245080616,-0.00124021166657099,-3.85168740531432e-05,0.0371582129571258,0.00897314144298734,0,0,0.000117937775287948,-3.05499847129991e-05,0.0371217232986141,0.00897306274881204,-0.0629402337675348,-0.0159459434783179,0.0856736374352423,0.0201440548185195,0,0,-0.0577852684126023,-0.0110537978510567,0.083839676831998,0.0201366231413948,0,0,-0.0656591935047904,0.0100344409167514,0.0853594683565818,0.0200286376659027,0,0,-0.0574682980481104,0.0107827488880439,0.0855821590894093,0.0199831873454563,0,0,0.0656591029898533,0.011408127504689,0.0810327096968819,0.0199968665735925,0,0,-0.00905772998319331,-0.00512945903999525,0.0844834798223609,0.0201475338323308,0,0,0.065253691429163,-0.00885835721241894,0.0808682465892378,0.020087468107998,0,0,-0.0383514589093726,-0.0375877872077666,0.0838195845792779,0.0203778861413809,0,0,-0.00851442547954616,0.00316914789903065,0.0825073883947901,0.0200657440251886,0,0,-0.037358367474303,0.000864365499640996,0.0850129691036573,0.0200726401853509,0,0,1.00638500135425,0.998484558190733,0.0351199824533935,0.0351199824533935,1.02709326426352,0.998220581336128,0.0344205224196245,0.00849718176766685,1,1,1.02713102060252,0.998069558718506,0.0343550199652282,0.008496347781854,0.996228722307301,0.981978764445987,0.0779217675893905,0.018873408630376,0,0,1.08000321902901,0.987388204463426,0.0809131079351551,0.0190349783966791,0,0,0.939083218908053,1.01772406458371,0.0770334110565628,0.01913625061852,0,0,1.02513210719556,1.00972461589862,0.0795577783851194,0.0191035140383945,0,0,0.994377756879777,0.988347796943476,0.0754757730601532,0.0188169514485288,0,0,1.00069058866141,0.999164725943765,0.0789163504198368,0.0190466759247148,0,0,1.07688852024124,0.999058717909251,0.0759363968095054,0.0190829762592531,0,0,0.91633518464032,1.01398853286492,0.0743968122203782,0.0193177695175498,0,0,1.12888810298124,1.00399356279821,0.0784657912410682,0.0190917932916966,0,0,1.00976390724495,0.982156711782939,0.0788692917114493,0.0189499793032324,0,0
"result.9",-0.0131445872223842,0.0247169364743611,0.0377204662998547,0.0377204662998547,-0.000729071907110772,-4.23504849925015e-05,0.0372036641659959,0.00900133052097662,0,0,-0.000174714771601239,2.26572748360505e-05,0.0371767757746971,0.0090007868654627,0.0177663288976564,-0.0174317664780423,0.0837017077544956,0.0202705173764936,0,0,-0.0700506567371223,0.0454507808803746,0.0848945097084507,0.019769516823277,0,0,-0.0166405140310331,-0.00200730433134731,0.0846836202563489,0.0200651812114393,0,0,0.113191799945762,0.0118504840250895,0.0805543818909072,0.0199707419327613,0,0,0.113530041652283,0.00833796935837361,0.0803719671361623,0.0201280749207792,0,0,-0.0941008792528648,0.0381132420180302,0.0877285877312657,0.0198304831624672,0,0,-0.103732105975248,-0.0211125352893147,0.0854551578936581,0.0202298585841359,0,0,0.0395379233327751,0.016680389788036,0.0821511578617033,0.0200048448281788,0,0,-0.0145691100792118,0.0320018843153682,0.0817371573955343,0.0199443025713885,0,0,-0.0543011234004713,0.0114897856602751,0.0863989967549985,0.0201870539644399,0,0,1.01289728306338,1.0063889236048,0.0344544219076313,0.0344544219076313,0.963205275219031,1.00244541603081,0.0339172594365483,0.00861469006475413,1,1,0.958249226654415,1.0021079441731,0.0337843477391732,0.0086122147744154,1.07079923980358,0.984181402392879,0.0799564387359898,0.019206073881602,0,0,0.923362487096896,1.02083929833635,0.075370698302684,0.0190109497286192,0,0,1.05481328336041,1.02827687837624,0.0772035292979685,0.0193841594642508,0,0,0.919875503703984,1.00637991520944,0.0728896140190722,0.0192824751445368,0,0,0.946834059364483,1.03052123913359,0.0737581511045112,0.0195873205217155,0,0,1.08478107036412,1.00515089034058,0.0805412047355587,0.0192351395920622,0,0,0.844974496026951,0.984318182635264,0.0746018796365071,0.0192403350560434,0,0,0.988277313769055,0.990059813819744,0.0728595474989751,0.0190456320522827,0,0,0.89860529753973,0.984929377616082,0.0736864897781142,0.0188972740257998,0,0,1.14819004038283,1.00951470031787,0.0835510829983182,0.0193533069063008,0,0
"result.10",0.0245991535727651,0.0260517820380289,0.0365494850769798,0.0365494850769798,0.000106227585536976,-0.000218637089575008,0.0370118819149883,0.00905346989087985,0,0,-8.69072930367657e-05,1.3349609209756e-05,0.0370110481262925,0.00905190871691934,-0.0501581983697117,0.00178605046335943,0.0827249295219105,0.0202017139734904,0,0,-0.043275412457416,0.0270948825544392,0.0832680691387215,0.0199653196991302,0,0,0.0353777279611984,-0.000330582829045927,0.082201053837015,0.0203191292852849,0,0,0.03191881666992,0.0417597304301629,0.0814379926348095,0.0198509731690139,0,1,0.0479086759860218,-0.0222415471782129,0.0821917785816029,0.020383186023104,0,0,0.04165753794931,0.0457857846211168,0.0818314677729477,0.0198365979297132,0,1,0.00862914953157968,-0.0381290411793262,0.0826226017220564,0.0204421454638707,0,0,0.0664281766322054,0.0108366942582469,0.0806642610214462,0.0200571936975412,0,0,-0.0412262171814034,0.0578219352753506,0.0840650560229599,0.0198746957955248,0,0,0.026266649069806,0.00478181832617891,0.0814338753057794,0.0203005977376999,0,0,1.02867246642965,0.995204053798224,0.0341653589064725,0.0341653589064725,0.971059158879537,1.00208266099118,0.0339458483515683,0.00866391270046225,1,1,0.966847560864808,1.00163307861246,0.0338346363740038,0.00866065066294115,0.853797749356464,1.02089485453578,0.0712920702627493,0.01961842773477,0,0,1.03225752742755,0.970275975437594,0.0771431854917962,0.0188086819194945,0,0,1.05422552911207,0.999092103568505,0.0783487923403253,0.0193869664557835,0,0,1.12541671327461,1.01173965316936,0.0771261527705298,0.0189676930401536,0,0,0.976978159303197,0.988878474751745,0.0759928085107428,0.0193453234871192,0,0,1.07869159551163,0.99020839538448,0.078038658438202,0.0189236392172697,0,0,0.96037736372013,1.01110780760257,0.0775477867756128,0.0195680465444028,0,0,1.04082235653169,1.01198583140985,0.075443267405104,0.0191217310278718,0,0,1.00991699290583,0.990440064497311,0.0763446644505989,0.0189467245247114,0,0,0.866174139402784,0.991810413589836,0.0742290608471198,0.0190799642870324,0,0
